track_id,offset,mean_intensity,F_norm
0,-5,1867.7216905901116,1.0
0,-4,1333.76582278481,0.7141137940971298
0,-3,1349.018607442977,0.7222803130892328
0,-2,1063.6264367816093,0.5694780127790633
0,-1,972.8514472965593,0.5208760235520873
0,0,831.484762979684,0.4451866502214118
0,1,768.9808126410835,0.41172130543610164
0,2,813.8335214446953,0.435735969413924
0,3,756.6715575620767,0.40513078654829154
0,4,831.257900677201,0.4450651854958984
0,5,794.3352144469526,0.4252963481919944
2,-5,2119.728579325594,1.0
2,-4,1744.015297450425,0.8227540612795319
2,-3,1701.167531120332,0.802540262801745
2,-2,,
2,-1,,
2,0,1331.169741697417,0.6279906562947496
2,1,1152.819188191882,0.5438522645944883
2,2,645.0975809758097,0.30433027476614566
2,3,638.209512095121,0.30108076964182445
2,4,590.2550225502255,0.278457831020054
2,5,801.2972529725297,0.378018799570777
4,-5,3983.981549815498,1.0
4,-4,3465.9202168861348,0.8699639226608981
4,-3,3637.490701001431,0.9130290026493437
4,-2,3032.9841269841268,0.7612947221416191
4,-1,1899.39755940912,0.4767586234170896
4,0,1527.635723431498,0.38344447742290483
4,1,467.6978233034571,0.11739457561622407
4,2,277.893085787452,0.0697526035983579
4,3,261.80281690140845,0.06571386278471415
4,4,364.90076824583866,0.09159198246355774
4,5,237.85531370038413,0.05970291546942516
6,-5,2572.922993492408,1.0
6,-4,2344.644050104384,0.9112764183127903
6,-3,2122.278008298755,0.8248509627635762
6,-2,2490.4584870848707,0.9679490965660025
6,-1,2097.4369900271986,0.8151961777838523
6,0,2075.069906223359,0.8065029196255585
6,1,1399.8047740835464,0.5440523395468956
6,2,1076.06905370844,0.4182282394110118
6,3,622.0886615515772,0.2417828528584032
6,4,592.8320545609548,0.23041189186788
6,5,593.8968456947997,0.23082573679698906
7,-5,2617.4190169218373,1.0
7,-4,2940.9382621951218,1.1236023896753653
7,-3,2527.24154209284,0.9655471767240965
7,-2,2540.087808417997,0.9704551667104552
7,-1,2320.072516316171,0.8863970580624287
7,0,2120.355343771273,0.8100939628171855
7,1,275.0272294077604,0.1050757359175913
7,2,89.66303607896528,0.03425627899059573
7,3,99.90878148400272,0.038170724992094854
7,4,86.66643975493533,0.033111412118055766
7,5,96.05650102110279,0.036698939069399784
8,-5,1361.6151046405823,1.0
8,-4,1589.6433224755701,1.1674689249978458
8,-3,1427.2413236481034,1.0481973347562445
8,-2,1364.735879077168,1.0022919652007014
8,-1,1141.1371473354232,0.8380761519509161
8,0,1208.233254531127,0.8873530048346939
8,1,474.3081166272656,0.34834228484301805
8,2,549.6706067769898,0.4036901506920953
8,3,618.7580772261623,0.45442950442995583
8,4,778.3640661938534,0.5716476436998058
8,5,576.7107959022852,0.42354905871473586
9,-5,1415.7475345167652,1.0
9,-4,1274.4648023143684,0.9002062664720651
9,-3,1513.030442804428,1.0687148703535396
9,-2,1494.2151658767773,1.055424875867289
9,-1,1177.8113718411553,0.8319360218721311
9,0,696.8616352201258,0.4922216837608581
9,1,198.03424178895878,0.13987963034422907
9,2,104.54088050314465,0.07384147099279775
9,3,87.25925925925925,0.06163475982251547
9,4,80.74982529699511,0.05703688216173183
9,5,91.40531097134871,0.0645632845848804
10,-5,2608.2457420924575,1.0
10,-4,2438.6663980660755,0.9349833716625423
10,-3,2383.9836629406705,0.9140180407342011
10,-2,2277.513753327418,0.8731975352522915
10,-1,2187.079501915709,0.8385250924098627
10,0,2055.7643429981495,0.7881789318474718
10,1,888.0043183220234,0.34046037303587223
10,2,1212.7532387415176,0.46496893263155104
10,3,913.4108574953732,0.3502012263470972
10,4,1038.134484885873,0.3980201973043509
10,5,862.5465761875386,0.3306998885371756
12,-5,1950.6299257567105,1.0
12,-4,1879.7109654350418,0.9636430471073815
12,-3,2016.024575775307,1.0335248881169645
12,-2,2002.2689220183486,1.0264729847418934
12,-1,1841.5755645628258,0.9440927467820022
12,0,2556.068865740741,1.31038124248461
12,1,2116.453703703704,1.0850103731914527
12,2,,
12,3,,
12,4,,
12,5,,
13,-5,2458.0692963752667,1.0
13,-4,2312.2732181425486,0.940686750187347
13,-3,2761.874739039666,1.1235951497024104
13,-2,2554.383333333333,1.0391827997282639
13,-1,2629.302935010482,1.0696618434995795
13,0,2406.23197492163,0.9789113669292898
13,1,411.6457680250784,0.16746711275882337
13,2,385.12539184952976,0.15667800432536452
13,3,382.7816091954023,0.15572449880068967
13,4,373.1954022988506,0.15182460594140867
13,5,407.89550679205854,0.16594141889878855
14,-5,2982.5096719932717,1.0
14,-4,3372.6999195494773,1.1308261465906442
14,-3,2953.9909021986355,0.9904379958722559
14,-2,3058.1937869822486,1.0253759830855453
14,-1,2595.160390516039,0.8701263955270397
14,0,2741.6138125440452,0.9192304850806298
14,1,1677.631430584919,0.5624898542118469
14,2,1511.1437632135307,0.5066685206098939
14,3,1663.3340380549682,0.5576961086410588
14,4,1507.2304439746301,0.5053564312391039
14,5,1384.8816067653277,0.46433432212133724
15,-5,2735.874709976798,1.0
15,-4,,
15,-3,2863.0851334180434,1.0464971670586203
15,-2,2542.464077669903,0.9293057421081482
15,-1,2352.0604395604396,0.8597105821342187
15,0,2514.2372093023255,0.9189884317924953
15,1,2286.939534883721,0.8359079918916009
15,2,1903.7697674418605,0.6958541487661932
15,3,1802.7302325581395,0.6589228030012485
15,4,1687.4883720930231,0.6168003110447021
15,5,1290.8558139534885,0.471825631943663
16,-5,1732.65495608532,1.0
16,-4,1806.5600870038065,1.0426542691947531
16,-3,1554.998821449617,0.897465947266794
16,-2,1545.0407736539466,0.8917186703720514
16,-1,1378.7145161290323,0.7957236443914002
16,0,1314.638713383113,0.7587423616952256
16,1,389.69787478460654,0.22491372180937386
16,2,260.8627225732338,0.15055664814107875
16,3,215.91499138426192,0.1246151119851873
16,4,182.50258472142445,0.10533117634324742
16,5,248.64043653072946,0.1435025685047507
18,-5,2340.0644019815995,1.0
18,-4,2154.2156593406594,0.9205796462338555
18,-3,2275.212881355932,0.9722864376848986
18,-2,2197.130890052356,0.9389189836791647
18,-1,1394.8583484026522,0.5960769059268054
18,0,1640.2341628959275,0.7009354791718356
18,1,1336.4638009049775,0.5711226578949028
18,2,,
18,3,,
18,4,,
18,5,,
