feature,n_survived,n_died,median_survived,median_died,U,p_value
area,40,184,4.14776925,3.7858275,2837.5,0.02341360495015951
cv,40,184,0.4640564393974207,0.4888555601066057,4138.0,0.2181177511327539
nnrm,40,184,0.08575711351374013,0.09350904262922752,4007.0,0.379450913894698
mean_edge_distance_norm,40,184,1.5600586894750301,1.5631359550961141,3830.0,0.68735988985345
gaussian_sigma_norm,40,184,0.3460530143463477,0.3373677671342511,2993.0,0.06460293902255937
