track_id,first_frame,last_frame,mean_area,num_detections,lifetime,disappeared,mean_volume,mean_surface_area,mean_fluor_intensity,mean_fluor_total,mean_cv,mean_nnrm,mean_edge_distance_norm,mean_gaussian_sigma_norm,mean_peri_core_asymmetry,preburst_slope,preburst_spike
0,0,22,1270.6521739130435,23,23,True,9.247903042456665,21.144922826086955,1895.783273774714,2315070.8695652173,0.4606498929868713,0.06380184455937486,1.447865355706907,0.3563396365014795,0.023950596089939494,-206.08391317680028,False
1,0,6,820.4285714285714,7,7,True,4.771786044968125,13.652751857142857,2504.562246881322,1991432.7142857143,0.43328966740481356,0.07588329438210605,1.398395181517279,0.345966430175158,-0.038630738963823345,-83.06881887509161,False
2,0,18,1307.7368421052631,19,19,True,9.594629970638373,21.762048789473685,1567.6364727015327,2014200.4736842106,0.5051099372729543,0.09537214080425536,1.562576421797516,0.3451858751300063,-0.06514276742441076,-21.939751053327058,False
3,0,30,637.578947368421,19,31,False,3.2678948622775192,10.609951263157894,1171.7296593634678,806685.947368421,0.8654156447214728,0.16756765212084526,1.527220433860663,0.3445532814536371,-0.1900567376977273,,
4,0,13,723.0714285714286,14,14,True,3.938762880313571,12.032631642857142,1937.4927057583438,1385737.5,0.45380401395608017,0.0923371379214872,1.620595367226309,0.32807847077636726,-0.07781102784153451,-12.46214485822763,False
5,0,29,1206.608695652174,23,30,True,8.612147061537923,20.079175304347824,1862.1522266184804,2119049.1739130435,0.537568877807825,0.09546699281882859,1.4297436835608563,0.3515465589691049,-0.056110367727163164,,False
6,0,28,1021.7241379310344,29,29,True,6.6330450184468726,17.00251137931034,1738.335379832813,1747256.4137931035,0.4554414908530454,0.08863674721349939,1.5647450774496543,0.34152038820082126,-0.03978877965522771,17.385698059309654,False
8,0,9,544.6,5,10,True,2.577298720622685,9.0626886,2590.5224192976843,1425128.0,0.34873834053977887,0.06885563770134265,1.486613035270394,0.3512735252996736,-0.009798442340715913,-338.8718283423585,False
9,0,29,1147.3703703703704,27,30,True,8.025258220803174,19.093390333333332,2176.8800726269847,2334501.185185185,0.41014791540539536,0.0945236611686281,1.5554772994094297,0.3370270049369748,-0.05868455513998905,-13.23567298324323,False
10,0,30,1280.516129032258,31,31,False,9.417150255254104,21.309068903225807,1888.1774316293902,2392530.0967741935,0.4379708584514237,0.09747106829195915,1.5784748237205306,0.34743574436015,-0.030761127873138176,,
11,0,18,943.6842105263158,19,19,True,5.86847097967594,15.703848947368419,1684.8979287056372,1571875.0,0.5765223231768078,0.1138838319509677,1.6532235846180245,0.3156275031119853,-0.11444135175957018,-79.7085347467082,False
12,0,17,1280.7222222222222,18,18,True,9.26968656473895,21.3124985,1513.5065046943287,1922705.0,0.5397458180059255,0.11007090149882437,1.5907889241847968,0.3419499684513066,-0.024469868336489335,-58.718857898034,False
13,0,21,1286.8636363636365,22,22,True,9.342048980041358,21.414697772727273,2533.6240168146524,3250523.772727273,0.4707336309970703,0.09797656290708706,1.570286991449013,0.3440909132593952,-0.006867990233785645,29.023425150236825,True
14,0,19,1722.8,20,20,True,14.580212409277005,28.6691148,2138.9652131134967,3616481.9,0.39858440343692364,0.07960943111641053,1.516468039654541,0.3649885750974554,0.004219028373283031,-54.445913182414316,False
15,0,30,999.4193548387096,31,31,False,6.402162353020564,16.63133748387097,2213.3669206363397,2199429.4516129033,0.49915795682303665,0.10997502524951637,1.618923666847758,0.33601769582994995,-0.03638866946232685,,
16,0,6,1332.2857142857142,7,7,True,9.823599363092514,22.17056657142857,2841.161864436061,3781819.714285714,0.46519861779952204,0.09017808906401001,1.5606414913955173,0.34282037335229687,-0.06097536815844826,-13.928043432034166,False
17,0,14,1051.8,15,15,True,6.9427061303996105,17.5030038,2269.523349335926,2323156.8,0.4553695965832061,0.08870226508405231,1.5147012634070562,0.3480102260843358,0.006592046305162961,-154.5688012334778,False
