frame,phase_cells,fluor_nuclei,difference
0,240,288,48
1,240,274,34
2,239,271,32
3,241,274,33
4,234,264,30
5,239,269,30
6,233,258,25
7,229,257,28
8,225,246,21
9,225,257,32
10,216,247,31
11,214,247,33
12,209,224,15
13,200,228,28
14,187,212,25
15,174,204,30
16,153,185,32
17,151,193,42
18,147,177,30
19,135,168,33
20,118,152,34
21,106,140,34
22,95,130,35
23,85,123,38
24,75,106,31
25,77,115,38
26,73,113,40
27,67,110,43
28,64,111,47
29,61,100,39
30,42,95,53
