track_id,offset,peri_core_asymmetry,delta_from_baseline
0,-5,0.0038078522393802804,0.0
0,-4,0.047748445847923246,0.043940593608542966
0,-3,-0.0971131574487318,-0.10092100968811207
0,-2,-0.06645765747898713,-0.07026550971836741
0,-1,-0.06020078699008772,-0.064008639229468
0,0,-0.03684517784619,-0.04065303008557028
1,-5,-0.04944092695829737,0.0
1,-4,-0.06781243140808303,-0.018371504449785664
1,-3,-0.07703544077802288,-0.02759451381972551
1,-2,-0.05920315982474141,-0.009762232866444044
1,-1,-0.056287169142474155,-0.006846242184176787
1,0,0.051761578247765984,0.10120250520606336
2,-5,-0.07975126750962624,0.0
2,-4,-0.08296478891659977,-0.0032135214069735213
2,-3,-0.06349467955382702,0.01625658795579922
2,-2,-0.08085522848754048,-0.0011039609779142368
2,-1,-0.06263312971630312,0.01711813779332312
2,0,-0.0682015613858469,0.01154970612377934
4,-5,-0.13549674195335246,0.0
4,-4,-0.05297749193817207,0.08251925001518039
4,-3,-0.07268667433048828,0.06281006762286417
4,-2,-0.07721947773341162,0.05827726421994084
4,-1,-0.10608448027730064,0.02941226167605182
4,0,-0.10868460910885956,0.026812132844492895
6,-5,-0.04446979648114155,0.0
6,-4,-0.07618595918639334,-0.031716162705251794
6,-3,-0.06593277060401721,-0.021462974122875664
6,-2,-0.07688786488325716,-0.03241806840211561
6,-1,-0.08822018555389223,-0.04375038907275068
6,0,-0.07580972063807478,-0.031339924156933235
11,-5,-0.09446879487566297,0.0
11,-4,-0.12990224154563038,-0.03543344666996741
11,-3,-0.14772832268695682,-0.05325952781129385
11,-2,-0.13138296978348338,-0.03691417490782041
11,-1,-0.12046898103689754,-0.026000186161234576
11,0,-0.09122646262151106,0.0032423322541519084
12,-5,-0.039891883700226075,0.0
12,-4,-0.04204056922321659,-0.0021486855229905164
12,-3,-0.10449064064073704,-0.06459875694051097
12,-2,-0.09917630122498575,-0.05928441752475967
12,-1,-0.096811994750322,-0.05692011105009592
12,0,-0.03773003888403299,0.0021618448161930814
13,-5,-0.021771651148171117,0.0
13,-4,-0.07934498813324065,-0.05757333698506953
13,-3,-0.03715491046603573,-0.015383259317864613
13,-2,-0.08556627721605659,-0.06379462606788547
13,-1,-0.029606369922114815,-0.007834718773943698
13,0,-0.06950492626751008,-0.04773327511933896
14,-5,-0.015631255614282445,0.0
14,-4,-0.06809840461609469,-0.05246714900181225
14,-3,-0.09147236598609122,-0.07584111037180878
14,-2,-0.06645886921948113,-0.05082761360519869
14,-1,-0.07481107196877207,-0.05917981635448963
14,0,-0.021704327500142985,-0.0060730718858605405
16,-5,-0.08508739835814204,0.0
16,-4,-0.024708721829644342,0.060378676528497696
16,-3,-0.07526861202198995,0.009818786336152088
16,-2,-0.022361591023649256,0.06272580733449279
16,-1,-0.07215472483424519,0.012932673523896848
16,0,-0.0404148113268241,0.04467258703131794
17,-5,-0.0009384535666992787,0.0
17,-4,-0.023108537359101296,-0.022170083792402016
