track_id,offset,mean_intensity,F_norm
1,-3,1667.1064814814815,1.0
1,-2,1636.4116766467066,0.981587975827736
1,-1,1536.1171428571429,0.9214271313324063
1,0,720.9586466165414,0.4324610662996513
1,1,710.0422932330827,0.42591298223620394
1,2,714.6174812030075,0.4286573708045089
1,3,667.9022556390977,0.4006356300921843
8,-3,1299.2657243816254,1.0
8,-2,1203.439127375088,0.926245574551622
8,-1,1202.1405926946934,0.9252461372109558
8,0,1136.1609822646658,0.8744639075316267
8,1,461.49590723055934,0.3551974769827815
8,2,209.6200545702592,0.16133732356406624
8,3,174.92701227830833,0.13463528591240514
9,-3,2973.2486486486487,1.0
9,-2,2852.928646379853,0.9595324789524476
9,-1,2825.3763102725366,0.9502657342690392
9,0,2700.0205761316874,0.9081045331875811
9,1,599.8117283950618,0.20173614765373835
9,2,473.9732510288066,0.15941258436095784
9,3,575.4002057613169,0.19352576045829137
12,-3,2299.856738925542,1.0
12,-2,2163.199082568807,0.9405799265476948
12,-1,2131.743231441048,0.9269026176112892
12,0,1888.7445008460236,0.8212444144361863
12,1,490.46362098138746,0.213258335912925
12,2,282.8155668358714,0.12297094947226954
12,3,297.55414551607447,0.12937942632682733
14,-3,984.0494889725659,1.0
14,-2,913.6833333333333,0.9284932755641172
14,-1,840.6037539103232,0.8542291453125873
14,0,804.2668329177058,0.8173032372156719
14,1,161.07680798004986,0.16368771061324183
14,2,145.6438902743142,0.14800463991539614
14,3,142.6942643391521,0.14500720333500447
16,-3,1286.0423048869438,1.0
16,-2,1252.860777385159,0.9741987278523456
16,-1,1216.066898954704,0.9455885660476842
16,0,1170.5037338764425,0.9101595876189638
16,1,378.418194161575,0.2942501912445577
16,2,364.9517990495587,0.28377899985307375
16,3,352.7386286490156,0.27428229017709094
19,-3,3009.193791946309,1.0
19,-2,2886.003412969283,0.9590619988294778
19,-1,2063.956390977444,0.6858835069051843
19,0,1633.6380753138076,0.5428823094365055
19,1,430.8563458856346,0.14317999293989042
19,2,241.23988842398884,0.0801676146845823
19,3,289.73779637377964,0.09628419317799432
20,-3,2373.231884057971,1.0
20,-2,2441.4632352941176,1.0287503937961082
20,-1,2360.54415274463,0.9946538172697873
20,0,2362.6247086247085,0.995530493457249
20,1,732.4032634032634,0.30861007233348503
20,2,689.6480186480186,0.29059445192890077
