frame,phase_cells,fluor_nuclei,difference
0,379,422,43
1,382,419,37
2,377,424,47
3,372,420,48
4,372,418,46
5,375,423,48
6,369,417,48
7,364,411,47
8,364,409,45
9,360,398,38
10,358,401,43
11,349,391,42
12,341,384,43
13,334,379,45
14,324,369,45
15,313,355,42
16,301,339,38
17,286,320,34
18,272,291,19
19,257,299,42
20,240,277,37
21,217,263,46
23,207,254,47
24,209,252,43
