feature,n_survived,n_died,median_survived,median_died,U,p_value
area,205,162,3.677661,3.38228325,13033.0,0.0004015805530232069
cv,205,162,0.5434277708930924,0.6523973615356609,20602.0,7.490139249027487e-05
nnrm,205,162,0.1075522777708669,0.14219671704648779,22020.0,8.083346365843789e-08
mean_edge_distance_norm,205,162,1.5511868797486859,1.6027918619755677,20693.0,5.114620321039627e-05
gaussian_sigma_norm,205,162,0.34228274997998426,0.32220868214878096,10457.0,1.1179325275371057e-09
