track_id,centroid_x,centroid_y,disappeared,gradient_quartile
1,55.96808510638298,675.145390070922,True,3
2,707.6369636963697,675.6765676567657,False,3
3,334.84786053882726,666.6798732171156,False,3
5,439.41237113402065,671.6998854524628,False,3
6,1341.6967808930426,668.4434060228452,False,3
7,980.9584850691915,669.5608157319738,False,3
8,615.2173913043479,661.4468599033817,True,3
9,870.1906666666666,659.136,True,3
10,912.9543973941368,657.3485342019544,False,3
11,1200.8560311284048,655.141374837873,False,3
12,204.83517835178353,654.4747847478475,True,3
13,148.03012912482066,652.6886657101866,False,3
14,1278.6930232558138,654.446511627907,True,3
15,175.24356223175965,653.7457081545065,False,3
16,1108.4461994076999,651.8716683119447,True,3
17,846.3914893617022,646.2510638297872,False,3
18,1232.2423986486488,646.1089527027027,False,3
19,733.8422818791946,639.3803131991051,True,3
20,222.75690607734808,677.0414364640884,True,3
21,356.1939655172414,634.6939655172414,False,3
22,81.69658536585366,687.7385365853659,False,3
23,182.4030612244898,686.1479591836735,False,3
24,1165.6959287531806,756.8422391857506,True,3
25,57.76952526799388,759.9027565084226,False,3
26,717.9803921568628,745.4918300653595,False,3
27,691.7850746268657,740.4746268656717,False,3
28,267.3341260404281,741.0356718192628,False,3
29,1144.769820971867,739.1572890025575,True,3
30,1355.9886759581882,739.7761324041812,False,3
31,662.6408566721582,732.4168039538715,True,3
32,842.304347826087,730.225063938619,True,3
33,630.1346516007533,729.3888888888889,True,3
34,684.4944751381215,715.5345303867404,True,3
35,607.4826086956522,714.1797101449275,False,3
36,183.07954545454547,711.5373376623377,False,3
37,1222.896923076923,711.6138461538461,True,3
38,1066.350164654226,710.6520307354556,True,3
39,1105.197969543147,706.2969543147208,True,3
40,210.1310507674144,703.6399055489965,False,3
41,666.7365177195686,696.5130970724191,True,3
42,388.09859154929575,695.9014084507043,True,3
43,1084.3812754409769,686.7557666214383,False,3
44,1315.8797071129707,635.25,True,3
45,819.0912906610703,636.0975865687303,False,3
46,250.53846153846155,633.2432915921288,True,3
47,973.8573573573574,592.3378378378378,True,3
48,891.9441401971523,593.3964950711938,False,3
49,1097.9351851851852,586.1342592592592,False,3
50,1344.5927116827438,581.5391211146838,False,3
51,327.1419098143236,579.57824933687,False,3
52,767.0471785383904,582.0323774283071,True,3
53,1314.2297297297298,572.8378378378378,False,3
54,1145.7928571428572,569.0821428571429,False,3
55,709.0368525896414,569.1245019920319,False,3
56,967.4340277777778,564.6203703703703,True,3
57,566.6051344743277,564.0611246943765,False,3
58,918.4039408866995,556.5997536945813,False,3
59,1083.502688172043,556.8109318996416,False,3
60,384.11333333333334,553.3546666666666,True,3
61,1221.4401544401544,547.0823680823681,False,3
62,76.29257246376811,550.7563405797101,False,3
63,1022.7329136690647,549.6492805755396,False,3
64,358.48398576512454,537.9181494661922,False,3
65,733.0828157349896,537.7929606625258,False,3
66,546.2704019488428,593.8038976857491,True,3
67,1242.65188172043,594.0752688172043,True,3
68,1183.2837837837837,601.8675675675676,True,3
69,1313.9578454332552,602.8149882903981,False,3
70,77.96419098143237,629.998673740053,True,3
71,1064.283362218371,634.2461005199307,False,3
72,480.219074598678,628.4428706326723,True,3
73,1095.6554054054054,623.1243243243243,False,3
