track_id,first_frame,last_frame,mean_area,num_detections,lifetime,disappeared,mean_volume,mean_surface_area,mean_fluor_intensity,mean_fluor_total,mean_cv,mean_nnrm,mean_edge_distance_norm,mean_gaussian_sigma_norm,preburst_slope,preburst_spike
1,0,18,610.1052631578947,19,19,True,3.0804083352993494,10.152761684210526,1729.535558549145,1025517.2631578947,0.7158994667625737,0.13557995125520886,1.4008032748053172,0.2922755905012597,-57.7817227432347,False
2,0,24,1071.64,25,25,False,7.1028689476786235,17.83316124,2725.2611942034646,2873996.24,0.5179331072528748,0.1119453242512047,1.6049404340927003,0.3341153440400545,,
3,0,24,760.6,25,25,False,4.263715195804501,12.657144599999999,1787.6077908964942,1340530.36,0.5282591605777783,0.11134252497574051,1.6030834319495741,0.32946562181567546,,
5,0,24,1009.0,25,25,False,6.505544541492931,16.790769,1853.9582614176543,1845799.0,0.5561394833606436,0.11245075690266235,1.6532933587492664,0.31769502832430047,,
6,0,24,1268.4,25,25,False,9.31076081051446,21.1074444,1335.5615152068888,1531847.24,0.6445939605511435,0.10597105278165009,1.5788247851381436,0.328931674405278,,
7,0,24,1649.76,25,25,False,13.540875156366678,27.45365616,2729.6547940411583,4496651.96,0.5635022424167488,0.11106669975073653,1.4765472561436277,0.36056421450801096,,
8,0,15,1084.5625,16,16,True,7.319268784303084,18.048204562499997,2512.4653746821946,2543051.3125,0.6691341981381296,0.14453264833347723,1.6464977069765099,0.3116297944961545,-401.56970815469253,False
9,0,15,851.4375,16,16,True,5.028071449240208,14.168771437499998,3122.4233200203844,2644369.9375,0.5061293150810813,0.10213671347079206,1.5749339899187509,0.33138134519868817,-66.60614532444066,False
10,0,24,1143.68,25,25,False,7.860098498159122,19.03197888,2232.6653189847207,2500694.88,0.4798305603925948,0.09813827052019874,1.598057487732642,0.3411436374075559,,
11,0,24,1101.88,25,25,False,7.5516271024317625,18.33638508,1831.319809979726,1842061.52,0.4194270973200141,0.10409193343668273,1.4723756276903857,0.363001958870677,,
12,0,17,941.3888888888889,18,18,True,5.862734089918628,15.6656525,2543.462370812492,2359604.5555555555,0.2977291117085531,0.07228665683926412,1.5483125348639089,0.3663533602785756,-73.7958644690294,False
13,0,24,791.8,25,25,False,4.522330392235599,13.1763438,1938.4831350661168,1516590.2,0.4301755383457161,0.07435135983871616,1.6056733488329291,0.33946752693190924,,
14,0,14,1540.6666666666667,15,15,True,12.407602505190544,25.638234,1722.588492941558,2392586.2,0.41224500360495525,0.08494331116939495,1.5282836751056232,0.35572006396954253,-68.18934323997597,False
15,0,24,1257.88,25,25,False,9.076084131726407,20.93238108,2300.1828316620263,2830359.28,0.38494976661629776,0.07374383323784434,1.5112843477225775,0.3601245274565917,,
16,0,12,1260.5384615384614,13,13,True,9.080165885086892,20.976620538461535,1526.0814231435438,1885684.923076923,0.35885775067654513,0.0638368029932385,1.557135272175123,0.3450408357106775,-51.00938382526693,False
17,0,24,931.68,25,25,False,5.807772037926838,15.50408688,2737.3516929834454,2451869.32,0.47476261627582245,0.1000625720383693,1.575734196186755,0.3327626882261655,,
18,0,24,1458.44,25,25,False,11.301951663578897,24.269900039999996,2470.800262070436,3529015.32,0.4639647631990713,0.08697210630473623,1.5603225706618824,0.34078079221538543,,
19,0,19,1084.35,20,20,True,7.242537038734774,18.044668350000002,3223.3585903912285,3436457.0,0.4787122745381479,0.08430448165535555,1.5561923521194054,0.3448439192525687,-253.6857252082091,False
20,0,16,813.1764705882352,17,17,True,4.685772546183185,13.532069647058824,2401.250788625035,1948208.8235294118,0.3056250554794368,0.10526887083032696,1.4255883345187315,0.3757415526604775,23.785317253355412,True
21,0,24,840.24,25,25,False,4.9709441430136545,13.982433839999999,2454.4590948439263,1992221.52,0.5072026014848356,0.10935093760941048,1.573836741759302,0.3218486012674992,,
22,0,24,1340.44,25,25,False,9.987271718713572,22.30626204,1922.778307463904,2548596.76,0.48875062482579507,0.09520860879851174,1.530263660604537,0.3487697312888534,,
23,0,24,837.56,25,25,False,4.983182808244348,13.93783596,1665.2956220277015,1285262.8,0.29693082802119564,0.07919388885605462,1.477304314247726,0.3688137416193865,,
24,0,11,858.25,12,12,True,5.088541616349377,14.282138249999997,2829.5867605500334,2400737.5,0.7903555589217753,0.17488397056442814,1.6907768738943663,0.27512815908862126,-78.47295598409201,False
25,0,24,1597.68,25,25,False,12.92871581378577,26.586992879999997,1693.026286308119,2694980.8,0.45587679500378087,0.09230300515082657,1.54363247452273,0.35139299663844803,,
26,0,24,773.32,25,25,False,4.362654907202333,12.868818119999998,2384.61173455778,1817774.0,0.40622927525021346,0.07690616189602972,1.57454011242012,0.3432277874200085,,
27,0,24,771.32,25,25,False,4.348288658238915,12.835536119999999,3192.761642007429,2424730.44,0.3248382325244513,0.06970447829630488,1.5806574253573689,0.3405656707499462,,
28,0,24,1084.96,25,25,False,7.275750957115817,18.05481936,2115.133668155321,2242057.16,0.5208276254974792,0.10842855984539065,1.5883289892415502,0.3370564176706094,,
29,0,21,1007.3636363636364,22,22,True,6.511978379186375,16.76353827272727,2261.9644443020666,2219837.4545454546,0.5470173880475839,0.1051426300511292,1.563637540704624,0.33426535380219635,-42.48703749118694,False
30,0,24,1425.04,25,25,False,10.912553827024722,23.71409064,1400.5139778442017,1973734.32,0.4845410152828378,0.09886498619595292,1.5053337145787629,0.37038933009160746,,
31,0,5,596.0,4,6,True,2.9557584029047126,9.918035999999999,3135.1263926980896,1886734.25,0.289157595018949,0.05251585289860755,1.2341365149010906,0.41227026942938744,-67.04199769795503,False
32,0,18,1020.2222222222222,18,19,True,6.681615113588766,16.977518,2156.811713067125,2086117.0,0.44693143747703323,0.06444155501998643,1.4073853377229812,0.3596473884540432,-116.99728713978212,False
33,0,22,1295.0869565217392,23,23,True,9.428765692646346,21.55154204347826,2966.5771057083825,3827289.9565217393,0.3603400324787885,0.09949864730258524,1.4974124287686352,0.35826031332953395,-1.2217598496151347,False
34,0,23,1205.904761904762,21,24,True,8.554144701165828,20.06746114285714,2904.403263735778,3429243.1428571427,0.3160516792664769,0.09687810923938793,1.2911621745391921,0.39154264307680464,-70.54551894569268,False
35,0,24,856.52,25,25,False,5.095802761710732,14.25334932,2172.459311162595,1830575.24,0.5364663255617867,0.09604094235111786,1.506376983151145,0.3330202231018462,,
36,0,24,772.0833333333334,24,25,False,4.347964072006194,12.84823875,2006.01573070584,1534824.3333333333,0.48288071922856907,0.08103067395159823,1.5497495444277352,0.32934636277011564,,
37,0,20,799.3888888888889,18,21,True,4.592261828105429,13.3026305,2335.754934352104,1805788.7777777778,0.7217483614435439,0.14901992640835365,1.6896781497479183,0.2999699216590365,-118.25667116031266,False
38,0,20,1104.5714285714287,21,21,True,7.466691874402424,18.381173142857143,2770.013151129977,2968979.285714286,0.6255613946814207,0.13761717579351804,1.6217105216662202,0.30877420399078453,-77.69972739826338,False
39,0,14,936.4,15,15,True,5.804137274350158,15.5826324,2961.8794918522767,2746532.2,0.7148706409372381,0.172614019618139,1.7489064397847258,0.2864767174534997,-72.11420734825822,False
40,0,24,1017.64,25,25,False,6.585126168354796,16.93454724,2454.3937234059413,2462087.72,0.40702407777165533,0.08874212665474554,1.5673101659510253,0.3493416455564084,,
41,0,10,687.3636363636364,11,11,True,3.647260800053914,11.438418272727272,3634.8434650756535,2486816.090909091,0.7584042595781443,0.19222212012964252,1.7830986896449532,0.2573437045550431,-62.4265434474583,False
42,0,13,820.5384615384615,13,14,True,4.75541322539774,13.654580538461538,1883.6319075312158,1537944.3846153845,0.7011629363354028,0.14765221830898184,1.6889580028617734,0.3123323962124134,-43.81757368121098,False
43,0,24,850.24,25,25,False,5.0306472918036915,14.14884384,2573.730389765501,2161858.96,0.49525313716262404,0.09054321332792953,1.4853837390465678,0.3522811047552551,,
