absorbed_track,into_track,distance,gap_frames,end_frame,start_frame
403,384,1.3,8,8,16
400,373,1.7,9,4,13
411,307,2.1,10,11,21
410,379,2.3,15,6,21
402,397,2.9,7,8,15
407,40,3.3,5,14,19
396,382,3.4,6,2,8
401,388,4.1,14,1,15
412,373,5.4,8,13,21
404,398,11.2,7,10,17
399,387,12.3,8,1,9
