track_id,first_frame,last_frame,mean_area,num_detections,lifetime,disappeared
1,0,19,695.2,20,20,True
2,0,24,1070.4166666666667,24,25,False
3,0,24,1025.2173913043478,23,25,False
5,0,24,789.2916666666666,24,25,False
6,0,24,1293.125,24,25,False
7,0,24,1016.6666666666666,24,25,False
8,0,24,1658.6666666666667,24,25,False
9,0,16,1119.6470588235295,17,17,True
10,0,15,857.5,16,16,True
11,0,24,1162.5,24,25,False
12,0,24,1137.9166666666667,24,25,False
13,0,17,947.7222222222222,18,18,True
14,0,24,836.375,24,25,False
15,0,14,1613.7333333333333,15,15,True
16,0,24,1222.0833333333333,24,25,False
17,0,12,1257.3076923076924,13,13,True
18,0,24,935.625,24,25,False
19,0,24,1477.4166666666667,24,25,False
20,0,16,827.7058823529412,17,17,True
21,0,24,1324.8333333333333,24,25,False
22,0,24,853.4583333333334,24,25,False
23,0,24,848.2083333333334,24,25,False
24,0,11,894.5833333333334,12,12,True
25,0,24,1615.4583333333333,24,25,False
26,0,16,1029.9411764705883,17,17,True
27,0,24,778.875,24,25,False
28,0,24,783.9583333333334,24,25,False
29,0,24,1105.0416666666667,24,25,False
30,0,21,1035.4545454545455,22,22,True
31,0,24,1531.4166666666667,24,25,False
32,0,24,1126.2727272727273,22,25,False
33,0,19,1102.15,20,20,True
34,0,8,607.1111111111111,9,9,True
35,0,23,1183.3478260869565,23,24,True
36,0,24,868.5,24,25,False
37,0,24,811.0833333333334,24,25,False
38,0,20,863.5,20,21,True
39,0,20,1140.2380952380952,21,21,True
40,0,20,923.3529411764706,17,21,True
41,0,24,1019.125,24,25,False
42,0,10,701.7272727272727,11,11,True
43,0,13,859.6428571428571,14,14,True
44,0,21,1286.1818181818182,22,22,True
45,0,24,853.0833333333334,24,25,False
46,0,16,1288.8235294117646,17,17,True
47,0,24,1268.5833333333333,24,25,False
48,0,18,958.7368421052631,19,19,True
49,0,20,824.4285714285714,21,21,True
50,0,24,1218.1666666666667,24,25,False
51,0,24,1071.5416666666667,24,25,False
52,0,24,1146.0,24,25,False
53,0,24,886.375,24,25,False
54,0,17,1268.9444444444443,18,18,True
55,0,24,1119.2083333333333,24,25,False
56,0,24,1031.5,24,25,False
57,0,13,812.0714285714286,14,14,True
58,0,24,1236.0,24,25,False
59,0,12,538.3076923076923,13,13,True
60,0,24,971.1666666666666,24,25,False
61,0,24,1022.6666666666666,24,25,False
62,0,24,1440.0,24,25,False
63,0,20,941.7142857142857,21,21,True
64,0,14,642.1333333333333,15,15,True
65,0,24,1461.875,24,25,False
66,0,24,1086.5833333333333,24,25,False
67,0,24,1382.7916666666667,24,25,False
68,0,15,1048.9375,16,16,True
69,0,24,1176.8333333333333,24,25,False
70,0,11,924.6666666666666,12,12,True
71,0,24,1221.5416666666667,24,25,False
72,0,9,862.3,10,10,True
73,0,24,1434.875,24,25,False
74,0,6,825.1428571428571,7,7,True
75,0,5,1115.5,6,6,True
76,0,24,936.0833333333334,24,25,False
77,0,24,1070.625,24,25,False
78,0,10,952.8181818181819,11,11,True
79,0,17,1003.0555555555555,18,18,True
81,0,24,1139.6666666666667,24,25,False
82,0,24,835.0833333333334,24,25,False
83,0,24,989.75,24,25,False
84,0,24,946.7826086956521,23,25,False
85,0,24,1375.5416666666667,24,25,False
86,0,13,829.5,14,14,True
87,0,24,1087.5,24,25,False
89,0,24,977.625,24,25,False
90,0,14,1003.0666666666667,15,15,True
91,0,24,994.0,24,25,False
92,0,24,1052.0,24,25,False
93,0,24,1148.3333333333333,24,25,False
94,0,24,851.7916666666666,24,25,False
95,0,20,837.1428571428571,21,21,True
96,0,24,1259.1666666666667,24,25,False
97,0,24,1427.625,24,25,False
98,0,17,964.3333333333334,18,18,True
99,0,8,893.2222222222222,9,9,True
100,0,24,962.1666666666666,24,25,False
101,0,24,1040.1666666666667,24,25,False
102,0,23,892.9545454545455,22,24,True
103,0,24,1629.4583333333333,24,25,False
104,0,24,931.4166666666666,24,25,False
105,0,8,729.2222222222222,9,9,True
106,0,24,1506.5833333333333,24,25,False
107,0,24,748.2916666666666,24,25,False
108,0,24,1029.4583333333333,24,25,False
109,0,14,1102.1333333333334,15,15,True
110,0,24,681.2083333333334,24,25,False
111,0,15,987.1875,16,16,True
112,0,11,773.0,12,12,True
113,0,23,1291.0,23,24,True
114,0,17,945.2222222222222,18,18,True
115,0,14,923.5333333333333,15,15,True
116,0,24,1066.8333333333333,24,25,False
117,0,24,729.0434782608696,23,25,False
118,0,24,920.9166666666666,24,25,False
119,0,24,1039.6666666666667,24,25,False
120,0,24,933.625,24,25,False
121,0,20,916.3809523809524,21,21,True
122,0,7,914.125,8,8,True
123,0,11,877.1666666666666,12,12,True
124,0,17,1428.1666666666667,18,18,True
125,0,18,1155.5263157894738,19,19,True
126,0,24,913.9583333333334,24,25,False
127,0,24,1306.375,24,25,False
128,0,5,998.6666666666666,6,6,True
129,0,19,1004.65,20,20,True
130,0,24,884.4583333333334,24,25,False
131,0,20,1137.904761904762,21,21,True
132,0,24,993.75,24,25,False
133,0,24,1664.1666666666667,24,25,False
134,0,24,1291.125,24,25,False
135,0,5,1223.3333333333333,6,6,True
136,0,24,803.9583333333334,24,25,False
