frame,cell_count,mean_area,iqr_area,z_count,z_area,z_iqr,flagged,reasons
0,379,870.3192612137203,250.0,0.7538529411764706,-1.0766194698701288,-1.0673406593406594,False,
1,382,880.6125654450262,318.5,0.8133676470588235,-0.7009230323993116,3.2527289719626165,False,
2,377,918.0212201591512,264.0,0.7141764705882353,1.2764012309224468,-2.9501495327102805,False,
3,372,914.8602150537635,251.5,0.6149852941176471,-1.6820474443643159,-0.8320934579439252,False,
4,372,923.5806451612904,257.0,0.6149852941176471,-0.8156212425541017,0.07564485981308411,False,
5,375,945.9146666666667,276.5,0.6745,0.1771184455783532,0.7816635514018692,False,
6,369,960.650406504065,270.0,0.555470588235294,-0.3769686834508476,-0.5295140186915888,False,
7,364,974.3681318681319,287.75,0.4562794117647059,-0.45120503602193296,0.693411214953271,False,
8,364,994.6346153846154,304.75,0.4562794117647059,0.026348016357178216,0.6555887850467289,False,
9,360,1004.35,284.25,0.3769264705882353,-0.7430664846676028,-1.235532710280374,False,
10,358,1023.8938547486033,316.75,0.33725,-0.026348016357178216,1.437252336448598,False,
11,349,1047.5787965616046,325.0,0.15870588235294117,0.27563118668319236,0.21432710280373832,False,
12,341,1072.7155425219942,320.0,0.0,0.38150064863394284,-0.45386915887850465,False,
13,334,1083.7335329341317,322.0,-0.1388676470588235,-0.6480769676006883,-0.10085981308411215,False,
14,324,1123.969135802469,336.75,-0.33725,1.48254989125485,0.5421214953271027,False,
15,313,1141.0159744408945,336.0,-0.555470588235294,-0.20843714493725557,-0.23954205607476636,False,
16,301,1177.1196013289036,363.0,-0.7935294117647059,1.18123509296218,1.1598878504672898,False,
17,286,1188.9160839160838,365.0,-1.0911029411764706,-0.5913072250338984,-0.10085981308411215,False,
18,272,1233.5955882352941,394.75,-1.3688382352941177,1.8066111335459878,1.298570093457944,False,
19,257,1234.4941634241245,393.0,-1.6664117647058825,-1.386011934155937,-0.28997196261682245,False,
20,240,1277.725,428.5,-2.0036617647058823,1.7009703866117853,1.5885420560747663,False,
21,217,1301.294930875576,424.0,-2.4599411764705885,0.2672442798916968,-0.42865420560747663,False,
22,222,1336.9324324324325,502.75,-2.36075,1.1472439805249288,3.7696355140186917,True,iqr(z=3.8)
23,207,1316.888888888889,460.5,-2.6583235294117644,-2.913167540023031,-2.3323831775700934,False,
24,209,1339.8086124401914,463.0,-2.6186470588235293,0.2198294135675295,-0.07564485981308411,False,
