frame,phase_cells,fluor_nuclei,difference
0,371,422,51
1,376,422,46
2,372,419,47
3,365,418,53
4,366,416,50
5,367,416,49
6,363,413,50
7,357,408,51
8,359,407,48
9,351,398,47
10,353,394,41
11,345,386,41
12,336,381,45
13,330,379,49
14,321,371,50
15,308,352,44
16,296,338,42
17,281,315,34
18,265,290,25
19,250,300,50
20,232,277,45
21,211,262,51
22,213,254,41
23,205,248,43
24,200,250,50
