frame,cell_count,mean_area,iqr_area,z_count,z_area,z_iqr,flagged,reasons
0,371,853.8544474393531,232.5,0.7615322580645161,-1.094075873147137,-1.3696901840490798,False,
1,376,853.7047872340426,328.25,0.8703225806451613,-1.1694012699951968,3.5152773722627737,False,
2,372,900.0456989247311,270.5,0.7832903225806451,1.8139824051797395,-2.5306058394160584,False,
3,365,899.917808219178,244.0,0.630983870967742,-1.1680042820136716,-1.299766423357664,False,
4,366,907.8387978142076,247.5,0.6527419354838709,-0.6514931462523561,-0.11816058394160583,False,
5,367,932.0354223433243,278.0,0.6745,0.3929436413630904,0.9452846715328467,False,
6,363,942.4104683195592,276.0,0.5874677419354839,-0.4940119313078513,-0.3347883211678832,False,
7,357,961.204481792717,287.0,0.4569193548387097,0.0462483659484594,0.17724087591240875,False,
8,359,978.5571030640668,301.5,0.5004354838709678,-0.0462483659484594,0.3150948905109489,False,
9,351,991.3133903133903,291.0,0.32637096774193547,-0.34120339290833607,-0.6695766423357664,False,
10,353,1006.2181303116147,298.0,0.36988709677419357,-0.20333331309313524,0.019693430656934307,False,
11,345,1026.8376811594203,304.0,0.19582258064516128,0.16339638499475795,-0.019693430656934307,False,
12,336,1057.717261904762,303.0,0.0,0.8218009701564633,-0.2954014598540146,False,
13,330,1064.9212121212122,315.5,-0.1305483870967742,-0.6975068537476439,0.23632116788321167,False,
14,321,1101.5607476635514,331.0,-0.32637096774193547,1.191427636602935,0.3544817518248175,False,
15,308,1125.9318181818182,315.25,-0.6092258064516128,0.4041381544655449,-0.8763576642335766,False,
16,296,1159.3412162162163,359.75,-0.8703225806451613,0.9841438989169426,1.4967007299270074,False,
17,281,1174.8540925266905,356.0,-1.1966935483870966,-0.1643081113746906,-0.40371532846715324,False,
18,265,1216.8037735849057,404.0,-1.5448225806451612,1.532189231885251,1.6345547445255475,False,
19,250,1215.736,385.5,-1.8711935483870967,-1.2283182580410965,-0.9846715328467154,False,
20,232,1256.0474137931035,400.75,-2.2628387096774194,1.4270586728282058,0.34463503649635036,False,
21,211,1268.9620853080569,390.0,-2.719758064516129,-0.3310395895130593,-0.6794233576642336,False,
22,213,1313.6150234741783,480.0,-2.676241935483871,1.7056621059890444,3.288802919708029,False,
23,205,1295.1512195121952,417.0,-2.8503064516129033,-2.344652837790302,-2.7373868613138685,False,
24,200,1321.245,441.0,-2.9590967741935486,0.514687553850813,0.6892700729927007,False,
