track_id,first_frame,last_frame,mean_area,num_detections,lifetime,disappeared,mean_volume,mean_surface_area,mean_fluor_intensity,mean_fluor_total,mean_cv,mean_nnrm,fluor_disappearance_frame,max_drop,area_initial,area_max,area_rel_max,frame_of_max_area,growth_rate_px_per_frame,changepoint_frame,slope_before,slope_after,slope_ratio,mean_speed,max_speed,speed_std,total_displacement,net_displacement,last_y,last_x,preburst_slope,preburst_spike
1,0,18,610.1052631578947,19,19,True,11479.663184743944,2440.4210526315787,1729.535558549145,1025517.2631578947,0.7158994667625737,0.13557995125520886,,-0.2982491448812256,564.0,1064.0,1.8865248226950355,18,13.826315789473684,17,6.208333333333334,364.000000000001,58.63087248322164,1.178324440612479,2.7410449124059477,0.6332150328296983,21.209839931024625,5.8120531106808375,669.890037593985,53.4859022556391,-57.7817227432347,False
2,0,24,1071.64,25,25,False,26470.04367257157,4286.56,2725.2611942034646,2873996.24,0.5179331072528748,0.1119453242512047,,-0.13054237033353955,909.0,1265.0,1.3916391639163916,24,12.7746153846154,14,14.01318681318679,23.018181818181816,1.6426086460590879,1.0689629181865101,2.6623632484079827,0.6634261676354891,25.655110036476245,4.6227842546711795,671.799209486166,710.1541501976285,,
3,0,24,760.6,25,25,False,15889.456538155277,3042.4,1787.6077908964942,1340530.36,0.5282591605777783,0.11134252497574051,,-0.06636534426479979,631.0,916.0,1.451664025356577,20,13.950000000000001,16,10.111764705882353,8.783333333333298,0.8686251696722866,1.3759847198236983,3.108954646083393,0.767925555478714,33.02363327576876,2.608172207084913,664.1631753031974,334.16317530319736,,
5,0,24,1009.0,25,25,False,24244.01314393629,4036.0,1853.9582614176543,1845799.0,0.5561394833606436,0.11245075690266235,,-0.08987313147366574,873.0,1215.0,1.3917525773195876,22,16.52846153846155,2,-100.00000000000011,16.6867588932806,-0.16686758893280582,1.0968634786018374,2.659200208758787,0.662836131937223,26.324723486444096,0.6063976672784428,672.0497512437811,438.91708126036485,,
6,0,24,1268.4,25,25,False,34698.12650277505,5073.6,1335.5615152068888,1531847.24,0.6445939605511435,0.10597105278165009,20.0,-0.34009026520494795,963.0,1921.0,1.9948078920041536,22,37.953076923076914,19,18.222807017543875,66.11428571428584,3.6281065617736497,1.3614975291258975,2.4686347353131426,0.6056108219886303,32.67594069902154,9.553952587799134,664.8997901364113,1350.5692549842602,,
7,0,24,1649.76,25,25,False,50462.36378484887,6599.04,2729.6547940411583,4496651.96,0.5635022424167488,0.11106669975073653,,-0.13274861656451167,1373.0,1802.0,1.3124544792425346,11,1.4984615384615418,12,30.975524475524534,-8.83516483516484,-0.28523051618209044,1.1144405099364272,2.520605042935747,0.6529205771092006,26.746572238474254,5.006043288708623,664.5621951219512,980.685975609756,,
8,0,15,1084.5625,16,16,True,27276.494300955877,4338.25,2512.4653746821946,2543051.3125,0.6691341981381296,0.14453264833347723,13.0,-0.3695294717073232,828.0,1466.0,1.7705314009661837,15,44.88676470588236,12,26.937062937062965,18.300000000000097,0.6793613707165138,1.2549707183288292,2.9253562268803464,0.8117256462887373,18.82456077493244,7.166536793783018,654.306275579809,615.8267394270123,-401.56970815469253,False
9,0,15,851.4375,16,16,True,18737.959524608206,3405.75,3122.4233200203844,2644369.9375,0.5061293150810813,0.10213671347079206,,-0.06156945957069763,750.0,972.0,1.296,15,15.163235294117648,11,12.418181818181809,15.9,1.2803806734992689,1.8788958348751525,3.917806438004927,1.001517306516574,28.18343752312729,7.922941982744971,663.391975308642,876.8734567901234,-66.60614532444066,False
10,0,24,1143.68,25,25,False,29291.98779388769,4574.72,2232.6653189847207,2500694.88,0.4798305603925948,0.09813827052019874,,-0.28708121460453984,921.0,1446.0,1.5700325732899023,24,21.080000000000027,15,17.2785714285714,30.6181818181818,1.772032019241612,1.1695947508553168,2.725632882328743,0.6450652047050134,28.070274020527606,4.8647216641129765,655.5995850622406,908.4149377593361,,
11,0,24,1101.88,25,25,False,28142.416912489,4407.52,1831.319809979726,1842061.52,0.4194270973200141,0.10409193343668273,,-0.26530613247401413,771.0,1669.0,2.1647211413748377,24,36.01923076923077,18,20.974200206398322,45.17857142857141,2.1540068743498204,1.7078220841872316,5.96222479050209,1.5128535778862389,40.98773002049356,5.886978784097377,660.7453565008988,1199.0527261833433,,
