feature,n_survived,n_died,median_survived,median_died,U,p_value
area,40,184,4.1519295,3.783747375,2837.0,0.023331657369779386
cv,40,184,0.46434750591337276,0.4894467824586725,4139.0,0.21711329613007668
nnrm,40,184,0.08586755868217805,0.09355791434519534,4005.0,0.38237718404821486
mean_edge_distance_norm,40,184,1.5593627949084823,1.5648686051642997,3848.0,0.6520653405165053
gaussian_sigma_norm,40,184,0.34611995099432497,0.3373677671342511,2998.0,0.06657441987889255
