absorbed_track,into_track,distance,gap_frames,end_frame,start_frame
274,192,0.2,7,11,18
281,210,0.3,5,24,29
279,119,0.3,16,12,28
267,263,0.4,6,8,14
266,262,0.8,6,8,14
265,78,1.4,5,8,13
271,126,2.1,5,12,17
282,205,2.5,17,12,29
273,259,3.5,8,9,17
272,168,4.3,8,9,17
269,3,5.9,6,11,17
264,16,6.6,11,0,11
