frame,cell_count,mean_area,iqr_area,z_count,z_area,z_iqr,flagged,reasons
0,240,960.2333333333333,304.75,0.7419499999999999,-0.8024719766837032,0.0,False,
1,240,984.0,253.5,0.7419499999999999,0.6412559736231386,-0.8737369230769231,False,
2,239,974.9330543933054,251.0,0.7307083333333334,-0.12449491384292255,-0.06433692307692308,False,
3,241,1018.2904564315353,306.0,0.7531916666666666,1.098154315236879,0.89034,False,
4,234,1000.4871794871794,253.25,0.6745,-0.32824506534359343,-0.8986415384615384,False,
5,239,1040.7196652719665,295.5,0.7307083333333334,1.0252745061434274,0.6786507692307692,False,
6,233,1033.8369098712446,256.0,0.6632583333333333,-0.07355487183069186,-0.6786507692307692,False,
7,229,1023.170305676856,268.0,0.6182916666666666,-0.16180241363828535,0.1764076923076923,False,
8,224,1013.4955357142857,259.75,0.5620833333333334,-0.13867069310413108,-0.15980461538461538,False,
9,225,1109.191111111111,327.0,0.573325,2.3187937734853796,1.0937276923076924,False,
10,216,1100.2222222222222,290.25,0.47215,-0.12220801899697525,-0.6329923076923076,False,
11,214,1143.677570093458,302.25,0.44966666666666666,1.1004386240093462,0.1764076923076923,False,
12,209,1134.5550239234449,311.0,0.3934583333333333,-0.1257916392945792,0.1224476923076923,False,
13,200,1140.1,272.0,0.29228333333333334,0.2162867188137739,-0.6703492307692307,False,
14,187,1145.9144385026739,262.5,0.14614166666666667,0.2225711656855164,-0.18055846153846153,False,
15,174,1131.5172413793102,267.75,0.0,-0.2488079134399289,0.06433692307692308,False,
16,153,1114.2091503267975,219.0,-0.236075,-0.3166962588040468,-0.8322292307692307,False,
17,151,1297.867549668874,423.5,-0.25855833333333333,4.370277172244581,3.3725,False,
18,147,1297.2925170068027,292.5,-0.303525,0.07355487183069186,-2.1978323076923076,False,
19,135,1433.4518518518519,386.0,-0.43842499999999995,3.2624962040836016,1.5295584615384614,False,
20,118,1373.3135593220338,331.5,-0.6295333333333333,-1.3155892383074317,-0.9276969230769232,False,
21,106,1494.5754716981132,342.5,-0.7644333333333333,2.9150560753035633,0.15980461538461538,False,
22,95,1459.9368421052632,398.5,-0.8880916666666666,-0.7208819194325328,0.906943076923077,False,
23,85,1494.3058823529411,432.0,-1.0005083333333333,0.8885262682015117,0.5333738461538461,False,
24,75,1562.16,453.0,-1.112925,1.669470732123598,0.32583538461538464,False,
25,77,1524.051948051948,411.0,-1.0904416666666668,-0.8017963563020304,-0.7201584615384615,False,
26,73,1564.3150684931506,389.0,-1.1354083333333334,1.0259889726219271,-0.38809692307692306,False,
27,67,1557.3432835820895,370.0,-1.2028583333333331,-0.0756312326643821,-0.3382876923076923,False,
28,64,1560.46875,388.75,-1.2365833333333331,0.15985851795319023,0.2884784615384615,False,
29,61,1526.3934426229507,451.0,-1.2703083333333332,-0.7077440263768614,1.0107123076923077,False,
30,42,1417.0714285714287,295.5,-1.4838999999999998,-2.4626600537438725,-2.604607692307692,False,
