frame,phase_cells,fluor_nuclei,difference
0,232,285,53
1,239,276,37
2,235,268,33
3,238,277,39
4,230,262,32
5,237,267,30
6,229,257,28
7,225,256,31
8,218,248,30
9,220,255,35
10,213,246,33
11,213,244,31
12,205,220,15
13,197,225,28
14,182,213,31
15,169,201,32
16,148,187,39
17,152,193,41
18,140,174,34
19,134,167,33
20,119,151,32
21,105,140,35
22,92,127,35
23,83,123,40
24,76,102,26
25,77,114,37
26,73,111,38
27,70,110,40
28,69,109,40
29,60,98,38
30,49,95,46
