frame,cell_count,mean_area,iqr_area,z_count,z_area,z_iqr,flagged,reasons
0,292,948.0068493150685,291.25,0.6641230769230769,-1.1126000663814537,-0.2454287531806616,False,
1,291,998.8453608247422,305.5,0.6589346153846154,0.9905896081604234,0.30587790697674416,False,
2,300,1008.33,238.75,0.7056307692307692,-0.1080840572666912,-0.9646918604651162,False,
3,291,1025.9518900343642,268.5,0.6589346153846154,0.10810327231583937,0.5490116279069767,False,
4,308,1015.0941558441558,258.75,0.7471384615384615,-0.6485323550267933,-0.07058720930232558,False,
5,306,1028.6470588235295,249.25,0.7367615384615385,0.0,-0.0666656976744186,False,
6,300,1058.1533333333334,281.0,0.7056307692307692,0.4238429966973471,0.5803837209302325,False,
7,308,1046.3181818181818,263.75,0.7471384615384615,-0.6745,-0.18823255813953488,False,
8,299,1081.8996655518395,301.5,0.7004423076923078,0.5852468026633777,0.6745,False,
9,293,1075.9726962457337,268.0,0.6693115384615385,-0.5175337030802898,-0.4431308139534883,False,
10,275,1080.48,255.0,0.5759192307692308,-0.24031997720229345,-0.12156686046511629,False,
11,248,1050.9314516129032,250.25,0.43583076923076924,-1.1451026683810452,0.007843023255813953,False,
12,230,1138.0434782608695,408.0,0.3424384615384615,1.95429031102658,2.5568255813953487,False,
13,204,1177.9264705882354,355.5,0.20753846153846153,0.6995276171732799,-0.7411656976744185,False,
14,178,1184.7022471910113,311.75,0.07263846153846154,-0.18005206905479434,-0.6039127906976745,False,
15,150,1204.86,306.5,-0.07263846153846154,0.17547509247059034,0.0,False,
16,119,1182.8487394957983,278.0,-0.23348076923076921,-0.9448549228080575,-0.36470058139534883,False,
17,108,1288.25,456.25,-0.29055384615384616,2.440191593406877,2.8783895348837207,False,
18,93,1279.731182795699,357.0,-0.36838076923076923,-0.5863929143172003,-1.4744883720930233,False,
19,80,1312.625,385.75,-0.43583076923076924,0.5138419191406179,0.5333255813953488,False,
20,51,1355.1960784313726,560.5,-0.5862961538461537,0.7709436477928584,2.8234883720930233,False,
21,33,1332.1818181818182,290.0,-0.6796884615384615,-0.9715022316196222,-4.160723837209303,False,
22,29,1404.2068965517242,435.0,-0.7004423076923078,1.553466111766014,2.356828488372093,False,
23,25,1405.88,357.0,-0.7211961538461539,-0.31561791335580053,-1.1411598837209302,False,
24,28,1339.642857142857,415.0,-0.7056307692307692,-2.119831038189075,0.9921424418604651,False,
25,21,1360.142857142857,452.0,-0.74195,0.18456778330229603,0.662735465116279,False,
26,11,1223.1818181818182,312.0,-0.7938346153846153,-3.998796121250655,-2.1136947674418605,False,
27,19,1497.4736842105262,481.0,-0.7523269230769231,6.927211796189423,2.7332936046511627,False,
28,21,1359.2380952380952,531.0,-0.74195,-4.03265787236945,0.866654069767442,False,
29,23,1493.9130434782608,477.0,-0.7315730769230769,3.2179235926101026,-0.7646947674418605,False,
