track_id,offset,mean_intensity,F_norm
0,-3,1905.6461693548388,1.0
0,-2,1696.935982339956,0.8904779961929962
0,-1,1808.3592039800994,0.9489480434829746
0,0,1652.1951219512196,0.8669999439143387
0,1,332.5720620842572,0.17451931393793335
0,2,332.2849223946785,0.17436863555167453
0,3,627.5332594235033,0.329302086355284
2,-3,2698.059880239521,1.0
2,-2,2463.227949599084,0.9129626690792385
2,-1,2351.5413271245634,0.871567508322241
2,0,2539.588669950739,0.9412647541852505
2,1,119.01231527093596,0.04411033133199794
2,2,103.79064039408867,0.03846862004592523
2,3,105.08990147783251,0.038950173881427394
3,-3,2045.0603528319405,1.0
3,-2,1785.2789373814041,0.8729712719280883
3,-1,1999.1243386243386,0.9775380642708217
3,0,1856.1594936708861,0.9076306677700392
3,1,69.95611814345992,0.03420736118940779
3,2,69.884388185654,0.03417228645055884
3,3,84.4,0.0412701756616255
4,-3,2004.7835400225479,1.0
4,-2,1829.4770240700218,0.9125558882279359
4,-1,1070.8430540827148,0.534143977494284
4,0,984.4938862307283,0.4910724108497298
4,1,450.2089314194577,0.22456735225110347
4,2,317.4763423710792,0.15835941189317054
4,3,218.85380116959064,0.10916580109547847
5,-3,2418.1451851851853,1.0
5,-2,3257.3492741246796,1.3470445422718598
5,-1,1991.2191780821918,0.8234489766294579
5,0,1846.5687679083094,0.7636302316425622
5,1,434.6683381088825,0.17975278770352035
5,2,133.21131805157594,0.055088221694750895
5,3,113.92836676217765,0.04711394810376236
6,-3,3221.0717196414016,1.0
6,-2,3025.7663476874004,0.9393663386123721
6,-1,3366.213153724247,1.0450599821164503
6,0,2589.813031161473,0.8040221567776188
6,1,420.2275731822474,0.1304620355454336
6,2,372.97639282341834,0.1157926383784281
6,3,289.10198300283287,0.08975335173071473
7,-3,2437.481184454041,1.0
7,-2,2330.1660026560426,0.9559729188957676
7,-1,2443.6975342465753,1.0025503170371863
7,0,2396.917462099944,0.9833583444201303
7,1,104.88826501965188,0.04303141525301467
7,2,93.90735541830432,0.038526391923447055
7,3,96.53003930376192,0.03960237310524438
8,-3,3210.7565359477126,1.0
8,-2,3513.740157480315,1.0943651809598112
8,-1,2888.401116427432,0.8996014129657042
8,0,2192.3647260273974,0.6828187380393455
8,1,1511.1960616438357,0.4706666621166837
8,2,573.7208904109589,0.1786871361897313
8,3,440.7679794520548,0.13727854308391346
10,-3,2035.225937183384,1.0
10,-2,2458.9474775397375,1.2081938582911123
10,-1,2123.74432576769,1.0434931507932772
10,0,1360.2167011732229,0.6683369528277885
10,1,992.008281573499,0.48741924100396034
10,2,131.35610766045548,0.06454129011457249
10,3,167.24430641821945,0.08217481084663963
11,-3,2503.2504587155963,1.0
11,-2,2185.1495405179617,0.8729248537276408
11,-1,1375.127935222672,0.5493369352774402
11,0,1057.1098265895953,0.4222948698197752
11,1,76.37066473988439,0.030508599119190714
11,2,120.5592485549133,0.04816108117953629
11,3,69.11921965317919,0.027611787471176125
12,-3,1737.719855595668,1.0
12,-2,2093.735232800556,1.2048750125392624
12,-1,1934.0722145804677,1.1129942541385607
12,0,1704.2501663339988,0.9807393066529725
12,1,62.673985362608114,0.036066794748756716
12,2,67.1410512308716,0.03863744263188874
12,3,63.478376580172984,0.03652969514951731
13,-3,1965.8816425120774,1.0
13,-2,1862.9991889699918,0.9476659981367859
13,-1,1725.4155629139073,0.8776802863417079
13,0,1695.2379421221865,0.8623296059451208
13,1,84.5072347266881,0.04298693924355567
13,2,85.08922829581994,0.043282986348603225
13,3,89.19292604501608,0.04537044556306147
14,-3,1323.371983914209,1.0
14,-2,1231.3482335976928,0.9304626730540776
14,-1,1431.1918367346939,1.0814735797123196
14,0,1201.2738927738928,0.9077371346647524
14,1,179.6981351981352,0.13578807575072904
14,2,162.0874125874126,0.12248061358228082
14,3,179.17540792540794,0.13539307927273111
15,-3,2459.7064291247093,1.0
15,-2,2372.2715930902114,0.9644531416435693
15,-1,2173.5667396061267,0.8836691703812776
15,0,1574.0376623376624,0.6399290759661047
15,1,389.92727272727274,0.15852593956345798
15,2,274.8525974025974,0.11174203317442405
15,3,165.3038961038961,0.0672047257943379
16,-3,2568.7236533957844,1.0
16,-2,2311.4170616113743,0.8998309563411939
16,-1,2103.6568093385213,0.8189502232198247
16,0,1938.5350523771153,0.7546685879636852
16,1,85.37711522965351,0.033237174079347634
16,2,66.16599516518936,0.02575831583818667
16,3,67.89202256244964,0.026430255536713024
17,-3,3981.700255102041,1.0
17,-2,3066.751012145749,0.7702114211676528
17,-1,2749.7402985074627,0.6905945004232856
17,0,2550.6881720430106,0.6406027597819873
17,1,214.97751710654936,0.05399138642620903
17,2,364.822091886608,0.09162470013134089
17,3,234.25122189638319,0.05883195792958552
18,-3,2012.7513768686074,1.0
18,-2,1953.7876712328766,0.9707049234627949
18,-1,2435.4338905775076,1.2100023473174815
18,0,1385.8081911262798,0.688514342631969
