feature,n_survived,n_died,median_survived,median_died,U,p_value
area,19,268,4.060404,3.908554875,2192.0,0.3119143254383199
cv,19,268,0.7336987932389224,0.7746874572355674,3063.0,0.13954802091264318
nnrm,19,268,0.16801988858363237,0.17534278706824732,3083.0,0.12486064931141976
mean_edge_distance_norm,19,268,1.7140174242742978,1.7199885205592076,2602.0,0.8738573668956708
gaussian_sigma_norm,19,268,0.28141624500328755,0.27906973204757,2116.0,0.21921880296714213
