track_id,first_frame,last_frame,mean_area,num_detections,lifetime,disappeared
0,0,22,1270.4782608695652,23,23,True
1,0,24,1434.7619047619048,21,25,True
2,0,30,1244.7391304347825,23,31,False
3,0,8,1384.0,9,9,True
4,0,25,785.7,10,26,True
5,0,11,936.5833333333334,12,12,True
6,0,23,1182.0,24,24,True
7,0,13,1071.7857142857142,14,14,True
8,0,12,1038.7692307692307,13,13,True
9,0,17,1135.888888888889,18,18,True
11,0,29,1380.1,30,30,True
12,0,21,1143.1818181818182,22,22,True
14,0,30,1286.3548387096773,31,31,False
15,0,7,1734.25,8,8,True
16,0,11,698.4,5,12,True
17,0,29,1257.9333333333334,30,30,True
19,0,22,1008.7391304347826,23,23,True
20,0,29,1452.6666666666667,30,30,True
21,0,30,1080.0645161290322,31,31,False
22,0,18,1268.3157894736842,19,19,True
23,0,19,1170.5,20,20,True
24,0,19,1198.6,20,20,True
25,0,23,1411.7083333333333,24,24,True
26,0,30,1246.9354838709678,31,31,False
27,0,12,678.2727272727273,11,13,True
28,0,17,1106.2222222222222,18,18,True
29,0,12,906.6923076923077,13,13,True
30,0,19,929.65,20,20,True
31,0,21,1049.7727272727273,22,22,True
32,0,14,942.4666666666667,15,15,True
33,0,20,1163.8095238095239,21,21,True
34,0,19,891.4,20,20,True
35,0,13,1168.5,14,14,True
36,0,19,1229.15,20,20,True
37,0,3,1217.75,4,4,True
38,0,21,1372.5454545454545,22,22,True
39,0,12,1163.4615384615386,13,13,True
41,0,9,1388.5,10,10,True
42,0,15,1098.6875,16,16,True
43,0,29,1117.75,28,30,True
44,0,13,1007.1428571428571,14,14,True
45,0,30,1385.6774193548388,31,31,False
46,0,20,975.8571428571429,21,21,True
47,0,22,1328.391304347826,23,23,True
48,0,19,932.65,20,20,True
50,0,19,986.4736842105264,19,20,True
51,0,24,1404.96,25,25,True
52,0,30,1146.7666666666667,30,31,False
53,0,24,1041.4583333333333,24,25,True
54,0,9,990.5,10,10,True
55,0,15,1164.5625,16,16,True
57,0,18,1461.842105263158,19,19,True
58,0,23,1605.9583333333333,24,24,True
59,0,9,806.0,10,10,True
60,0,23,1281.7083333333333,24,24,True
61,0,14,774.2666666666667,15,15,True
62,0,20,1160.095238095238,21,21,True
63,0,3,1137.0,4,4,True
64,0,18,908.9444444444445,18,19,True
65,0,8,889.7777777777778,9,9,True
66,0,30,1456.0,31,31,False
67,0,6,830.5714285714286,7,7,True
68,0,30,1612.1,30,31,False
69,0,26,1419.7037037037037,27,27,True
70,0,6,1268.5714285714287,7,7,True
71,0,13,898.2857142857143,14,14,True
