absorbed_track,into_track,distance,gap_frames,end_frame,start_frame
282,154,0.3,6,23,29
275,154,0.6,5,13,18
274,121,0.6,5,13,18
268,264,0.8,6,8,14
269,265,0.9,6,8,14
266,81,1.5,5,8,13
267,263,1.6,6,8,14
283,130,2.1,5,25,30
272,172,2.4,6,11,17
273,260,4.1,6,11,17
270,2,4.9,7,10,17
278,4,5.3,12,13,25
281,156,6.3,8,21,29
