feature,n_survived,n_died,median_survived,median_died,U,p_value
area,205,162,3.67350075,3.38228325,13025.5,0.00039041671439910024
cv,205,162,0.5434277708930924,0.6521592772865548,20600.0,7.552545210352372e-05
nnrm,205,162,0.10771866702252203,0.14219671704648779,22020.0,8.083346365843789e-08
mean_edge_distance_norm,205,162,1.5539252883471468,1.6003033647935514,20692.0,5.1363229338261275e-05
gaussian_sigma_norm,205,162,0.34228274997998426,0.32225346607905975,10463.0,1.1602207317635967e-09
