track_id,first_frame,last_frame,mean_area,num_detections,lifetime,disappeared,mean_volume,mean_surface_area,mean_fluor_intensity,mean_fluor_total,mean_cv,mean_nnrm,mean_edge_distance_norm,mean_gaussian_sigma_norm,mean_peri_core_asymmetry,preburst_slope,preburst_spike
1,0,19,695.0,20,20,True,3.793201152612622,11.565495,1649.8842902243327,1085491.1,0.6998080011262566,0.12876641675204223,1.4473659513852137,0.29240597809758573,-0.07073082601099731,-219.54013629661193,False
2,0,24,1077.12,25,25,False,7.154360706661863,17.924353919999998,2717.4109621996163,2885352.72,0.5174331708949151,0.11437264200717279,1.6200673600947304,0.3333698937391766,-0.004103831310182251,,
3,0,24,1050.875,24,25,False,6.994396015304576,17.487610874999998,1443.9468176291484,1426261.0416666667,0.5589053984235965,0.12480088213367697,1.554042552680346,0.3201246741400462,-0.1324727112232978,,
5,0,24,795.8,25,25,False,4.562063182738339,13.242907800000001,1737.7013262605753,1363650.4,0.5483304082716485,0.11797619472093177,1.6192557658610804,0.32529856084502917,-0.04013620173664446,,
6,0,24,1319.84,25,25,False,9.871201328035468,21.96345744,1285.6034754481366,1540598.52,0.678364227306823,0.11143928428718684,1.5741755920820275,0.3254444039072688,-0.03800936379808044,,
7,0,24,1024.96,25,25,False,6.655367634435611,17.05635936,1833.5302445167483,1857532.6,0.5632398922551903,0.11525603344563361,1.656576048337364,0.31636113116065856,-0.12401281174223037,,
8,0,24,1657.2,25,25,False,13.631299341944576,27.577465199999995,2719.9840460034384,4495927.36,0.5691005698484171,0.11036897370797634,1.4700191158081533,0.36004440969779616,0.0270669527017921,,
9,0,16,1119.4117647058824,17,17,True,7.671879912750662,18.62813117647059,2361.6837134002612,2445710.117647059,0.6682971390639312,0.14313270831689795,1.6349999312847194,0.3114498385271267,-0.06895914836877533,-266.8270766112371,False
10,0,15,857.1875,16,16,True,5.078123859725168,14.2644571875,3088.4474447309035,2634444.875,0.5191236540433839,0.10226735809408792,1.5535554389189288,0.33162261741395826,-0.018390822158964187,-67.17948072326624,False
11,0,24,1172.68,25,25,False,8.161349045037202,19.51456788,2185.613583482742,2510113.72,0.5013080653090148,0.09859016314529462,1.5913966117422294,0.33972085206766583,-0.04840144286043523,,
12,0,24,1159.52,25,25,False,8.15328576016243,19.295572319999998,1787.1273810781545,1889161.56,0.43798403285082976,0.10258604120516718,1.4872900486730323,0.3583447931053429,0.009475596190104477,,
13,0,17,947.6666666666666,18,18,True,5.9228177036170075,15.770120999999998,2530.1942684611267,2361644.1666666665,0.3038749907881727,0.07380141251338819,1.5456498420445017,0.36663981267244306,0.026346077207430672,-66.27782360969668,False
14,0,24,838.72,25,25,False,4.92790716085629,13.95713952,1905.9033132266006,1580916.56,0.435820241112312,0.07649758284387673,1.605251070157617,0.3384937654880643,-0.09457661683954682,,
15,0,14,1614.1333333333334,15,15,True,13.29491726500379,26.8607928,1666.8020665080044,2434272.933333333,0.44181561300739974,0.08610481475147913,1.5288199765472974,0.3523351211524579,-0.02205886896273935,-67.47896503996205,False
16,0,24,1230.88,25,25,False,8.779846570603402,20.483074079999998,2322.6067716245643,2801554.92,0.3757985687469656,0.07496221780215528,1.4888112373561393,0.36146786848045154,-0.027677153128609824,,
17,0,12,1257.3846153846157,13,13,True,9.041114442735326,20.924137384615385,1513.879399498087,1868764.1538461538,0.3705564433557483,0.062193881634072544,1.5561472004870656,0.34484062271279375,-0.09914731798305812,-54.48288780412433,False
18,0,24,940.8,25,25,False,5.885366146412127,15.6558528,2712.6129314089894,2463866.88,0.4805386089053663,0.10134540012126175,1.5794141344933499,0.3317380033285955,-0.05601219946355517,,
19,0,24,1484.32,25,25,False,11.598500878164227,24.70056912,2418.86701843986,3522166.64,0.48678402588191,0.08632091372163207,1.5288952949550159,0.33996827527551615,-0.05972419216851426,,
20,0,16,827.3529411764706,17,17,True,4.808796841400074,13.767980294117647,2374.0811290193355,1960072.9411764706,0.3179542513663827,0.10422027773491961,1.4439563735882968,0.36965943834897624,0.010030525504451613,16.536574627182198,False
21,0,24,1338.92,25,25,False,9.963203952762811,22.28096772,1894.9004441631596,2514105.96,0.5071613514497736,0.09785481610604485,1.5003555527380685,0.3478401402663121,-0.010451155490414228,,
