track_id,offset,peri_core_asymmetry,delta_from_baseline
1,-5,-0.058091881464550174,0.0
1,-4,-0.0541565948374768,0.0039352866270733755
1,-3,-0.0734151599454397,-0.015323278480889532
1,-2,-0.12133628942036079,-0.06324440795581061
1,-1,-0.11854274879639261,-0.060450867331842434
1,0,-0.0914356349480703,-0.03334375348352013
9,-5,-0.10767839465988481,0.0
9,-4,-0.12642373618256117,-0.01874534152267636
9,-3,-0.0953458124083874,0.012332582251497415
9,-2,-0.07874398871745268,0.02893440594243213
9,-1,-0.08112694688645575,0.026551447773429063
9,0,-0.11112989619918566,-0.0034515015393008497
10,-5,-0.05450845376544156,0.0
10,-4,-0.06321025673891761,-0.008701802973476051
10,-3,-0.058064023018537705,-0.0035555692530961427
10,-2,-0.06663768081735859,-0.012129227051917026
10,-1,-0.05928636250809338,-0.004777908742651819
10,0,-0.05608738027149238,-0.0015789265060508206
13,-5,0.07665591802318561,0.0
13,-4,0.0596534414605469,-0.01700247656263871
13,-3,0.017497771252864263,-0.05915814677032134
13,-2,0.02927277754551193,-0.04738314047767368
13,-1,0.02237192015087117,-0.05428399787231444
13,0,0.004164833393000172,-0.07249108463018544
15,-5,-0.06519520659044095,0.0
15,-4,-0.0644284184497605,0.0007667881406804578
15,-3,-0.08887029723540932,-0.023675090644968366
15,-2,-0.10715567993927123,-0.04196047334883028
15,-1,-0.0917344719514267,-0.026539265360985748
15,0,-0.10810416765471037,-0.04290896106426942
17,-5,-0.10117198597029971,0.0
17,-4,-0.09301299417315348,0.008158991797146228
17,-3,-0.08181644403711479,0.019355541933184922
17,-2,-0.08593883177806004,0.015233154192239667
17,-1,-0.06250267429459568,0.03866931167570403
17,0,-0.07343195563375893,0.02774003033654078
20,-5,0.028399887576923546,0.0
20,-4,0.01969745249183427,-0.008702435085089277
20,-3,0.02866353988612173,0.00026365230919818405
20,-2,0.035710890941519684,0.007311003364596138
20,-1,0.01865338830316487,-0.009746499273758674
20,0,0.01333094182439439,-0.015068945752529156
24,-5,-0.20009401376659738,0.0
24,-4,-0.23364357025878382,-0.03354955649218644
24,-3,-0.21046625879985625,-0.01037224503325887
24,-2,-0.20546861350024082,-0.0053745997336434315
24,-1,-0.16993050480968763,0.03016350895690975
24,0,-0.0778835631072616,0.12221045065933578
26,-5,-0.03590794192455633,0.0
26,-4,-0.04194536192495925,-0.0060374200004029155
26,-3,-0.07032135969878557,-0.03441341777422924
26,-2,-0.0798452695070834,-0.043937327582527066
26,-1,-0.0619905986583058,-0.026082656733749467
26,0,-0.05401583301815507,-0.018107891093598734
30,-5,-0.09682019494949268,0.0
30,-4,-0.08215738186704692,0.014662813082445755
30,-3,-0.10950790150968272,-0.01268770656019004
30,-2,-0.07863073061548477,0.018189464334007907
30,-1,-0.09448740592241892,0.0023327890270737617
30,0,-0.10623116554974935,-0.009410970600256668
33,-5,0.02676215841466127,0.0
33,-4,0.0222526681408932,-0.004509490273768069
33,-3,0.008375342601794853,-0.018386815812866414
33,-2,-0.003720044844730856,-0.030482203259392125
33,-1,-0.05562982865308025,-0.08239198706774152
33,0,-0.05422396340629776,-0.08098612182095903
34,-5,-0.07264490173768777,0.0
34,-4,-0.061261478225354965,0.011383423512332805
34,-3,-0.08016174075088983,-0.007516839013202062
34,-2,-0.05910839753538762,0.013536504202300147
34,-1,-0.04664950116460893,0.025995400573078843
34,0,-0.06037724847672077,0.012267653260967001
35,-5,-0.0581493350181793,0.0
35,-4,-0.04842552395039844,0.009723811067780863
35,-3,-0.03219877686321066,0.02595055815496864
35,-2,-0.03263513210793179,0.02551420291024751
35,-1,,
35,0,-0.036328278659006175,0.021821056359173127
38,-5,-0.13210532149075704,0.0
38,-4,-0.1275906977450248,0.004514623745732249
38,-3,-0.13309924485519567,-0.0009939233644386258
38,-2,-0.10991852062934011,0.02218680086141693
38,-1,-0.12253663504672395,0.009568686444033095
38,0,-0.06359164966604253,0.06851367182471452
39,-5,-0.050998266585554515,0.0
39,-4,-0.06723477088648638,-0.01623650430093187
39,-3,-0.06793585901128457,-0.016937592425730057
39,-2,-0.07310245868646914,-0.022104192100914626
39,-1,-0.07133344695995814,-0.02033518037440362
39,0,-0.05650644302994245,-0.005508176444387933
42,-5,-0.3585923793433703,0.0
42,-4,-0.3321177690945737,0.026474610248796604
42,-3,-0.33151276716630484,0.02707961217706545
42,-2,-0.3123021926624599,0.046290186680910395
42,-1,-0.31215008329687544,0.04644229604649486
42,0,-0.2804973982157529,0.07809498112761737
43,-5,-0.08513765547225274,0.0
43,-4,-0.10390129499094233,-0.01876363951868959
43,-3,-0.08696954393936897,-0.0018318884671162244
43,-2,-0.07860907289909397,0.0065285825731587754
43,-1,-0.0754160588287832,0.00972159664346954
43,0,-0.05119313396057671,0.03394452151167603
44,-5,-0.05636577636863285,0.0
44,-4,-0.06473012750780764,-0.008364351139174789
44,-3,-0.04608651236660218,0.01027926400203067
44,-2,-0.0625542206439032,-0.0061884442752703495
44,-1,-0.07061673306483372,-0.01425095669620087
44,0,-0.07992612834744822,-0.02356035197881537
46,-5,-0.07454204389437115,0.0
46,-4,-0.06676807386763431,0.00777397002673684
46,-3,-0.03016821605843855,0.0443738278359326
46,-2,-0.019031542630813553,0.055510501263557596
46,-1,-0.05420710541165001,0.020334938482721138
46,0,-0.0558468849489089,0.018695158945462247
48,-5,0.011302795954788778,0.0
48,-4,-0.002174563114058666,-0.013477359068847445
48,-3,0.01774597071303351,0.006443174758244732
48,-2,0.0209562435554742,0.009653447600685422
48,-1,-0.01096688247652987,-0.02226967843131865
48,0,-0.001790765585118881,-0.01309356153990766
49,-5,-0.17739264906759888,0.0
49,-4,-0.1971780843105138,-0.01978543524291493
49,-3,-0.16137953313018658,0.01601311593741231
49,-2,-0.18018015219341088,-0.0027875031258119964
49,-1,-0.0919161350984734,0.08547651396912548
49,0,-0.08691684114457507,0.09047580792302382
54,-5,-0.052622934487036,0.0
54,-4,-0.05803052894617803,-0.005407594459142032
54,-3,-0.04317823886867756,0.009444695618358437
54,-2,-0.062406107490114424,-0.009783173003078426
54,-1,-0.0896917710623276,-0.03706883657529161
54,0,-0.08524179895815227,-0.032618864471116275
57,-5,-0.13926969375815987,0.0
57,-4,-0.1464970718037353,-0.007227378045575439
57,-3,-0.1491956284391033,-0.009925934680943438
57,-2,-0.15397584928053498,-0.014706155522375114
57,-1,-0.14769858564776756,-0.008428891889607687
57,0,-0.13585966283299084,0.003410030925169033
59,-5,-0.2878813514947705,0.0
59,-4,-0.2627191527805701,0.02516219871420039
59,-3,-0.18289723507442324,0.10498411642034727
59,-2,-0.1774063172096895,0.11047503428508101
59,-1,-0.10310178515847722,0.18477956633629328
59,0,-0.07886511111673594,0.20901624037803457
63,-5,0.016673153880519598,0.0
63,-4,0.011277826648383,-0.005395327232136598
63,-3,0.029469687532900038,0.01279653365238044
63,-2,-0.0037674237313907095,-0.02044057761191031
63,-1,-0.015668973755498666,-0.032342127636018264
63,0,-0.031512380888525426,-0.048185534769045024
64,-5,0.010953347763518402,0.0
64,-4,0.005086425745360302,-0.0058669220181581
64,-3,-0.030572041360025816,-0.04152538912354422
64,-2,-0.004325627293967181,-0.015278975057485582
64,-1,-0.03455529182708786,-0.04550863959060626
64,0,0.0030235626415472945,-0.007929785121971107
68,-5,-0.17882754664011677,0.0
68,-4,-0.1442422274340286,0.03458531920608818
68,-3,-0.15985400926008408,0.018973537380032685
68,-2,-0.12223365113771952,0.056593895502397254
68,-1,-0.09232664624403945,0.08650090039607732
68,0,-0.0260407214699164,0.15278682517020037
70,-5,-0.2929200640991956,0.0
70,-4,-0.26331656352514216,0.02960350057405342
70,-3,-0.20565447531793407,0.0872655887812615
70,-2,-0.1080544164556076,0.18486564764358798
70,-1,-0.08018337396619174,0.21273669013300384
70,0,-0.0740104155627093,0.21890964853648626
72,-5,-0.08567332915344678,0.0
72,-4,-0.08723480017350879,-0.0015614710200620163
72,-3,-0.10531806006034364,-0.019644730906896862
72,-2,-0.08217907039207811,0.0034942587613686626
72,-1,-0.0679904942038562,0.01768283494959058
72,0,-0.07025436495030551,0.015418964203141261
74,-5,-0.03893323223051446,0.0
74,-4,0.05499984155989558,0.09393307379041005
74,-3,0.0923561509286325,0.13128938315914696
74,-2,0.11337687441889142,0.1523101066494059
74,-1,0.11636701610288556,0.15530024833340003
74,0,0.09732620898148725,0.1362594412120017
75,-5,-0.14537696012486248,0.0
75,-4,-0.11508062681247098,0.030296333312391496
75,-3,-0.12304539664371296,0.02233156348114952
75,-2,-0.1071408269839911,0.038236133140871376
75,-1,-0.11183031377515003,0.03354664634971245
75,0,-0.12571743577679123,0.01965952434807125
78,-5,0.02459201851443121,0.0
78,-4,0.011341247608880979,-0.01325077090555023
78,-3,-0.014258656878137734,-0.038850675392568944
