absorbed_track,into_track,distance,gap_frames,end_frame,start_frame
311,205,1.1,5,1,6
334,154,1.2,14,13,27
326,278,1.3,7,11,18
319,142,2.3,5,3,8
315,271,2.5,6,2,8
331,224,3.0,7,12,19
329,288,3.1,5,14,19
316,256,4.0,7,1,8
333,170,9.3,17,10,27
