track_id,first_frame,last_frame,mean_area,num_detections,lifetime,disappeared,mean_volume,mean_surface_area,mean_fluor_intensity,mean_fluor_total,mean_cv,mean_nnrm,fluor_disappearance_frame,max_drop,area_initial,area_max,area_rel_max,frame_of_max_area,growth_rate_px_per_frame,changepoint_frame,slope_before,slope_after,slope_ratio,mean_speed,max_speed,speed_std,total_displacement,net_displacement,last_y,last_x,preburst_slope,preburst_spike
1,0,5,661.8333333333334,6,6,True,12828.644998395728,2647.3333333333335,3281.931479392623,2176118.1666666665,0.602637648833757,0.21134047577639292,,-0.2724813395333878,671.0,731.0,1.0894187779433682,1,-9.628571428571359,2,59.999999999999886,7.299999999999993,0.12166666666666677,1.10248048835874,1.7563118588251037,0.3457283004727165,5.5124024417937,3.596986053662356,649.613601236476,660.8948995363215,24.099402874319395,True
2,0,11,1290.3333333333333,9,12,True,34916.25376778154,5161.333333333333,3297.3953588068525,4245088.777777778,0.5259166154424849,0.1259170516550419,11.0,-0.3421867571809041,1175.0,1413.0,1.2025531914893617,8,7.804270462633424,8,21.68279569892479,-70.90000000000022,-3.26987354326804,0.8840791103374747,2.3998110540134587,0.6841118818788527,8.498645175304603,3.336296465946492,658.5089209855565,607.2701784197111,-137.01432849590313,False
3,0,12,719.3333333333334,6,13,True,14723.33535908888,2877.3333333333335,2936.8291512015844,2084386.5,0.344753336380949,0.05525068887824713,,-0.20610844604765755,667.0,1038.0,1.5562218890554722,12,27.951923076923052,8,-0.6666666666666469,84.4999999999999,-126.75000000000361,1.2595408181871115,3.2640996064452144,1.062668647378243,13.310861263855791,10.908119144842743,646.4036608863198,636.4084778420039,,False
4,0,16,1163.8823529411766,17,17,True,29910.346231512587,4655.529411764706,2739.283326779813,3170967.3529411764,0.687504012359587,0.15428545311673866,,-0.19303655713337833,1024.0,1271.0,1.2412109375,15,10.556372549019587,10,15.830303030303073,24.964285714285698,1.5769935462699576,0.8560924927355521,2.100053135071043,0.46099246293181523,13.697479883768834,4.775997233927899,666.8272727272728,1201.3413223140496,-99.4997626222002,False
5,0,13,1392.4285714285713,14,14,True,39263.79445923278,5569.714285714285,1975.861160104226,2693712.0714285714,0.618252771595805,0.1318141552744728,,-0.28021600231294025,1250.0,1733.0,1.3864,12,27.77142857142854,12,12.569930069930075,-33.00000000000036,-2.6253129346314603,1.1302679148102035,2.574042927941061,0.6812291254609679,14.693482892532645,3.518200666253573,668.0941176470589,516.9882352941177,-70.80843779876237,False
6,0,12,1142.1538461538462,13,13,True,29067.92156518775,4568.615384615385,2328.4270079908297,2639838.4615384615,0.7827002731132349,0.16119249136373973,,-0.2021454512546993,999.0,1222.0,1.2232232232232232,8,14.236263736263789,9,22.066666666666666,4.600000000000074,0.20845921450151395,0.489418676599268,1.143405145810621,0.3359276637806624,5.873024119191216,3.690680817020607,680.013104013104,1022.7714987714987,-130.10410285474694,False
7,0,19,1126.6315789473683,19,20,True,28733.68517556283,4506.526315789473,2539.6011081344736,2775448.947368421,0.661108891873553,0.13930492706649586,,-0.16623713347438376,909.0,1540.0,1.694169416941694,19,30.59930495221549,13,13.148351648351655,55.89440993788816,4.251058340449495,0.7598700948030597,1.6885488056168656,0.44600751272098904,14.681976061372273,5.822117779716739,680.2857142857143,241.162987012987,-48.49317652011326,False
8,0,15,1030.875,16,16,True,25035.241150845435,4123.5,2403.360485535719,2413204.8125,0.613801200133119,0.1379070086052792,15.0,-0.4468102460276957,856.0,1355.0,1.5829439252336448,15,24.65294117647058,11,15.754545454545479,82.00000000000016,5.204847085978074,1.0716188661987982,5.4240233525538715,1.2492270119958762,16.074282992981974,6.236656824518035,689.9335793357934,957.3520295202952,-121.4769975432421,False
9,0,14,1252.0,14,15,True,33554.90262140539,5008.0,2425.0832413046382,2999025.785714286,0.732623920711848,0.15525493675021385,14.0,-0.43593597040409787,1142.0,1561.0,1.3669001751313485,13,21.787500000000023,9,26.133333333333262,105.26744186046503,4.028090887517806,2.4654649323787066,4.12902791798199,1.007518327913074,32.961375998264224,6.4512391618642875,686.9891304347826,918.5360054347826,-20.356257417084805,False
10,0,15,1109.9333333333334,15,16,True,27968.993782566235,4439.733333333334,2120.1611825130544,2278810.066666667,0.7264536091764524,0.15327602840488416,,-0.25955667813877764,929.0,1470.0,1.5823466092572658,15,25.760678391959857,13,13.53846153846157,136.0000000000003,10.045454545454545,0.582547885742122,1.0424089029857073,0.2633527233560246,8.48016273406526,2.836859850564903,691.5564625850341,339.1340136054422,-220.4441603264828,False
11,0,13,1251.4285714285713,14,14,True,33444.175526547195,5005.714285714285,2900.918525776312,3570722.214285714,0.7038547517902066,0.14686722115849588,,-0.2697776267290835,1099.0,1610.0,1.464968152866242,13,22.272527472527454,11,19.827272727272746,278.50000000000006,14.046309032553864,0.8751309587169689,1.834089041907074,0.48315554465935534,11.376702463320596,3.460797139919519,695.3347826086956,792.2478260869565,-226.598189798915,False
12,0,10,1172.5454545454545,11,11,True,30219.854226949687,4690.181818181818,3532.6637927747706,4132556.4545454546,0.6172705230140302,0.16214158346559707,10.0,-0.4254108630596108,1084.0,1260.0,1.1623616236162362,8,9.963636363636377,8,11.892857142857181,-52.00000000000005,-4.372372372372363,1.0229830722289304,2.7110887663210983,0.771729187554588,10.229830722289304,6.028092981545304,700.7474048442907,731.2811418685121,-89.21108205042769,False
13,0,7,1157.75,8,8,True,29660.308359383518,4631.0,3342.500492562628,3877436.0,0.6795577580524138,0.16929083027061942,,-0.2714962017840605,1109.0,1231.0,1.1100090171325518,6,0.023809523809559335,6,16.20000000000007,-192.99999999999963,-11.913580246913506,0.6583003903964829,1.4430090079413627,0.4355082958980593,4.6081027327753805,3.4400852224567453,700.1840077071291,688.1926782273603,0.9471059337730717,False
