track_id,centroid_x,centroid_y,disappeared,gradient_quartile
1,664.3532041728763,648.6244411326378,True,3
2,610.6025531914894,658.6706382978723,True,3
3,639.8470764617691,656.7556221889056,True,3
4,1205.65234375,668.8828125,True,3
5,518.0096,671.4608,True,3
6,1025.5995995995995,682.3843843843844,True,3
7,245.94389438943895,683.6083608360836,True,3
8,957.9357476635514,683.7242990654206,True,3
9,924.4833625218914,689.4886164623467,True,3
10,341.52314316469324,693.0861141011841,True,3
11,792.8307552320291,698.7461328480437,True,3
12,737.3062730627306,700.9363468634687,True,3
13,690.9215509467989,702.2786293958521,True,3
14,215.65282685512366,647.595406360424,True,3
15,403.99377916018665,712.7752721617418,True,3
16,532.1192052980133,722.630463576159,True,3
17,658.6193693693693,732.7297297297297,True,3
18,741.2317880794702,734.6026490066225,True,3
19,1152.2423913043478,735.9413043478261,False,3
20,806.9711934156379,739.6781893004115,True,3
21,48.84480431848853,742.8704453441295,True,3
22,690.5122950819672,742.4617486338798,True,3
23,248.1726618705036,746.294964028777,True,3
24,550.6556291390729,747.4216335540839,True,3
25,81.28078250863061,753.8319907940161,True,3
26,352.1627358490566,757.0290880503145,True,3
27,434.8051044083527,758.3828306264501,True,3
28,920.4440154440155,755.8687258687258,True,3
29,1092.0264317180618,720.0704845814978,True,3
30,1129.9459745762713,758.3580508474577,True,3
31,1254.5159292035398,641.5557522123894,True,3
32,516.5143112701252,635.6180679785331,True,3
33,939.77539503386,559.8713318284424,False,3
34,80.28132992327366,568.1653878942882,True,3
35,1251.3233190271817,563.4577968526467,True,3
36,335.71829710144925,569.2355072463768,True,3
37,187.4422057264051,569.9798515376458,True,3
38,851.1096374889478,573.4562334217507,True,3
39,1113.6265870052277,574.9088872292756,True,3
40,1149.3119617224881,576.1435406698564,False,3
41,1204.280029476787,583.2608695652174,True,3
42,131.7629090909091,584.5578181818182,False,3
43,271.6459709379128,581.0607661822985,True,3
44,797.3588560885609,586.59963099631,True,3
45,1043.880893300248,588.3076923076923,True,3
46,1217.4860883797055,633.4468085106383,True,3
47,924.1303911735206,589.5346038114343,True,3
48,312.3405923344948,594.2613240418118,True,3
50,1273.55421686747,593.3187294633078,True,3
51,1086.4761255115961,593.8431105047749,True,3
52,76.36147186147186,603.3409090909091,True,3
53,252.8179043743642,605.3682604272635,True,3
54,1002.0953984287318,606.8417508417508,True,3
55,195.6262857142857,608.7897142857142,True,3
56,1320.2093596059112,614.3563218390805,True,3
57,662.4272151898734,616.4485759493671,True,3
58,338.6968130921619,621.328165374677,True,3
59,882.7739463601532,620.4329501915709,True,3
60,475.81973684210527,627.6802631578947,False,3
61,629.7045305318451,596.0492449113592,True,3
62,410.8277858176556,544.3994211287988,True,3
63,1215.1933638443936,762.4038901601831,False,3
64,273.54214360041624,769.213319458897,True,4
65,124.6557734204793,940.7516339869281,True,4
66,82.54101765316719,938.4984423676012,True,4
67,814.0556186152099,945.7150964812713,True,4
68,1044.6169154228855,947.3164179104477,True,4
69,1018.7426900584795,962.1184210526316,True,4
70,273.93891402714934,963.7963800904978,True,4
71,102.47882736156352,966.4885993485342,True,4
72,1095.0255102040817,964.6411564625851,True,4
73,684.3491620111732,969.6992551210428,True,4
74,636.265873015873,977.0376984126984,False,4
75,1071.286956521739,969.7021739130435,True,4
76,1163.248511904762,973.8794642857143,True,4
77,145.51773981603154,978.2181340341656,True,4
78,1148.8024691358025,931.8047138047139,True,4
79,1133.6936466492602,983.8355091383812,True,4
80,873.6036363636364,992.6727272727272,True,4
81,488.6889332003988,993.9401794616151,True,4
82,1057.5302593659942,994.7243035542747,True,4
83,236.6156462585034,994.0351473922902,True,4
84,797.3482142857143,994.2176339285714,True,4
85,766.529810298103,996.7953929539295,True,4
86,733.9112627986348,1000.5244596131968,True,4
87,618.7184241019698,1003.7589803012746,True,4
88,661.9341563786008,1000.5816186556928,True,4
89,151.54545454545453,1007.502331002331,True,4
90,1096.8955637707948,1012.4990757855822,True,4
91,1272.1527403414195,1012.62893081761,True,4
92,399.18518518518516,1012.2432098765432,True,4
93,63.3780487804878,986.8364418938307,True,4
94,1295.2146946564885,766.4160305343512,True,4
95,1012.1636363636363,930.4027972027972,True,4
96,1355.8036253776436,899.6132930513595,True,4
97,1073.0075614366729,772.374291115312,True,4
98,1261.6902985074628,778.3171641791045,True,4
99,634.9875424688562,779.092865232163,True,4
100,178.1326860841424,778.7200647249191,True,4
101,693.6833333333333,783.74375,True,4
102,394.94776119402985,789.0097014925373,True,4
103,662.7048648648648,793.852972972973,True,4
104,1319.4916666666666,793.8194444444445,True,4
105,1237.7012127894156,800.3285556780595,True,4
106,1289.0339761248852,801.5996326905417,True,4
107,50.45929018789144,800.8590814196242,True,4
108,20.617962466487935,803.3753351206434,True,4
109,264.7680965147453,812.1260053619303,True,4
110,549.0084459459459,912.4341216216217,True,4
111,146.68987341772151,818.7325949367089,True,4
112,588.113184079602,825.0796019900497,True,4
113,776.9462365591398,827.8670576735093,False,4
114,852.4248079034029,835.3611416026345,True,4
115,433.16687268232386,842.742892459827,True,4
116,279.5060120240481,851.5220440881764,True,4
117,1205.9037267080746,849.1475155279503,True,4
118,525.3748723186925,875.2951991828396,True,4
119,1236.4423592493297,877.2855227882037,True,4
120,496.7204545454546,892.6715909090909,True,4
121,902.1851063829787,892.1542553191489,True,4
123,465.24603174603175,894.984126984127,True,4
124,128.85161870503597,901.2275179856115,True,4
125,820.1716961498439,825.4318418314256,True,4
126,254.61806656101427,543.8890649762282,True,2
127,1185.185011709602,766.0690866510539,True,4
128,1030.8623655913977,542.2784946236559,True,2
129,1169.8668122270742,134.62336244541484,True,1
130,440.50891920251837,143.03882476390345,True,1
131,787.5803886925795,145.70671378091873,True,1
132,324.40236686390534,141.81360946745562,True,1
133,1081.9822595704948,151.8141923436041,True,1
135,1226.5987096774193,151.69290322580645,True,1
136,641.263829787234,158.89645390070922,True,1
137,63.71809744779582,163.9199535962877,True,1
138,95.16774193548387,166.57511520737327,True,1
139,615.5946902654867,161.06371681415928,True,1
140,670.1607843137255,170.14901960784314,True,1
141,252.78055964653902,171.15316642120766,True,1
142,460.5215453194651,121.45616641901931,True,1
143,862.6767578125,175.2158203125,True,1
144,738.332,187.931,True,1
145,594.9920814479638,188.69570135746605,True,1
146,114.04588744588744,195.9887445887446,True,1
147,1221.702380952381,197.64166666666668,False,1
148,398.9630021141649,201.53276955602536,True,1
149,1167.7537154989384,201.5063694267516,True,1
150,617.7625899280575,208.14244604316548,False,1
151,557.498975409836,219.45389344262296,True,1
152,590.3516483516484,216.37912087912088,True,1
153,53.0992,228.2312,True,1
154,668.3909090909091,227.87070707070708,False,1
155,1257.4,231.40243902439025,True,1
156,206.8300884955752,239.60176991150442,True,1
157,475.042071197411,183.38079827400216,True,1
158,601.3494926719278,243.4543404735062,True,1
159,709.579739217653,124.21464393179538,True,1
160,1062.6066066066066,116.37637637637637,True,1
161,167.5072463768116,544.0401337792642,True,2
162,999.1302428256071,21.76710816777042,True,1
163,620.4062827225131,23.409424083769633,False,1
164,1264.5593220338983,25.01271186440678,True,1
165,564.0876338851023,29.545277507302824,True,1
166,1103.7343485617598,36.1912013536379,True,1
167,972.1188118811881,34.243281471004245,True,1
168,474.3480215827338,38.83902877697842,True,1
169,673.4069097888676,46.64779270633397,True,1
170,752.0353857041755,51.28591648973815,False,1
171,628.5986547085201,61.50728699551569,True,1
172,1205.1152679474217,55.110212335692616,False,1
173,1290.0318627450981,55.11029411764706,True,1
174,762.46015625,120.2359375,True,1
175,313.60205032618825,61.94408201304753,True,1
176,1068.4828025477707,69.97579617834396,True,1
177,1229.1340326340326,76.2983682983683,True,1
178,48.26136363636363,80.7944214876033,True,1
179,1262.7541567695962,80.77434679334917,True,1
180,283.6971307120085,89.83528161530288,False,1
