frame,phase_cells,fluor_nuclei,difference
0,292,362,70
1,291,356,65
2,300,347,47
3,291,355,64
4,308,350,42
5,306,345,39
6,300,352,52
7,308,343,35
8,299,339,40
9,293,326,33
10,275,310,35
11,248,274,26
12,230,279,49
13,204,240,36
14,178,210,32
15,150,182,32
16,119,148,29
17,108,120,12
18,93,130,37
19,80,108,28
20,51,84,33
21,33,65,32
22,29,64,35
23,25,57,32
24,28,51,23
25,21,50,29
26,11,49,38
27,19,50,31
28,21,50,29
29,23,50,27
