track_id,first_frame,last_frame,mean_area,num_detections,lifetime,disappeared,mean_volume,mean_surface_area,mean_fluor_intensity,mean_fluor_total,mean_cv,mean_nnrm,mean_edge_distance_norm,mean_gaussian_sigma_norm,mean_peri_core_asymmetry,preburst_slope,preburst_spike
0,0,9,948.5,10,10,True,5.900900283993346,15.783988499999998,1884.7468872399338,1791099.6,0.7294997207944273,0.15404569915425376,1.7154880277798754,0.29698100203779176,-0.2007037891916969,-23.637332481234097,False
2,0,17,827.5,18,18,True,4.811789761192625,13.7704275,2894.413276101686,2379969.722222222,0.5683538484793491,0.125763013275812,1.6815762698548609,0.3108719044768902,-0.11723053108578473,-230.3343854181298,False
3,0,18,966.9473684210526,19,19,True,6.09481670211546,16.09097115789474,2883.149733001762,2724360.736842105,0.5749690027058374,0.14575936733337988,1.6532586071734192,0.30189048362092974,-0.1361283457364689,-136.46322810167572,False
4,0,18,916.0,19,19,True,5.895339912150922,15.243155999999999,2186.3188301182267,1869570.7894736843,0.8336921618466852,0.18224739607557772,1.6990319138761287,0.26704144884657516,-0.27561238133596416,-285.0648436744261,False
5,0,8,1314.5555555555557,9,9,True,9.630581030020185,21.875519,2629.4362592686953,3445228.0,0.7422680557400285,0.16154296378196348,1.702534437692743,0.2967779854793026,-0.13462691056805803,-120.855279094773,False
6,0,7,1192.875,8,8,True,8.325464851309246,19.850632875,3284.5465290028365,3924211.125,0.6891630143665799,0.1758525200838297,1.720244766351931,0.29558646893870133,-0.1862510500787949,0.6534339938733115,False
7,0,18,1548.4736842105262,19,19,True,12.328762500257037,25.768150578947367,3100.43233195723,4762564.368421053,0.6321513786118328,0.15258237515454032,1.696293181559668,0.30414142140938893,-0.1367820118810164,-103.38166575060811,False
8,0,10,1195.6363636363635,11,11,True,8.349791624811084,19.896584727272725,3495.970676503074,4169043.6363636362,0.6229921036277133,0.16628163505943336,1.6986576124614452,0.3060455264898507,-0.16023062083968773,-82.79196210200304,False
9,0,15,1131.8,15,16,True,7.717652275778925,18.834283799999998,2075.586993703012,2287027.466666667,0.7423639728462852,0.1543235654299689,1.7172570051824714,0.2920685559787172,-0.2104208971166298,-209.22271629038423,False
10,0,14,1247.5333333333333,15,15,True,8.954413643721088,20.7602022,2377.284890643426,2947922.933333333,0.7186780070635063,0.1530543571254597,1.617103397831137,0.29745004281082044,-0.18614571753697212,-7.854416377796949,False
11,0,15,1050.5,16,16,True,6.910035742638765,17.481370499999997,2370.1207054440383,2422712.0,0.6259754184985045,0.1394693135378955,1.7017876825582527,0.30556313173655325,-0.15255630413042648,-102.83506187657753,False
12,0,19,1154.7,20,20,True,7.985256377773391,19.2153627,2475.222558935494,2787832.1,0.6640567768952605,0.13837670383630643,1.6689499249792576,0.30511740235736806,-0.11514083886355578,-18.292150494722105,False
13,0,12,1182.6153846153843,13,13,True,8.215868866604321,19.679902615384613,2264.1833415706396,2660653.769230769,0.8040461966709973,0.16629241003010067,1.7494917553906715,0.2868273112876005,-0.1921905940538221,-133.4160844529805,False
14,0,13,1416.857142857143,14,14,True,10.808024276522602,23.577919714285713,1946.9379717703923,2704149.8571428573,0.6296084871471715,0.13423317557716616,1.6564373165393682,0.3134210804264522,-0.14397232243477864,-68.03587497632495,False
15,0,13,1240.357142857143,14,14,True,8.845461028691021,20.64078321428571,2913.2779115095664,3567574.285714286,0.6979590989544707,0.1465619103735031,1.6636662418972261,0.29517939521689474,-0.17207376332948515,-229.15124408233692,False
16,0,16,1190.4117647058824,17,17,True,8.299362460773365,19.80964217647059,2703.413747866825,3200799.117647059,0.694493021473057,0.15925846467931673,1.743584155196971,0.294096624210248,-0.1836444290117883,-81.835252357241,False
17,0,15,967.5,16,16,True,6.083575349257766,16.100167499999998,3318.760484028898,3200059.5625,0.7976515089945712,0.19880220570353394,1.739342609264561,0.2684543872618569,-0.2654817595263131,-45.29317634566513,False
18,0,13,1252.928571428571,14,14,True,8.962006660408711,20.84998435714286,2279.3212794595447,2843171.785714286,0.6936358471818601,0.15078872263421758,1.6917522721658715,0.29890911121219904,-0.14816609020833335,-13.532338779683021,False
19,0,12,1065.3636363636365,11,13,True,7.077692065257534,17.728716272727272,2213.892758841284,2275070.4545454546,0.6062069464156715,0.14825156898915992,1.6907282646202935,0.29814984397398453,-0.15635193529697683,-477.55571526167904,False
20,0,12,1084.1538461538462,13,13,True,7.213376116203277,18.041404153846152,3080.261933209934,3339998.230769231,0.6255391896650802,0.17591788425528732,1.67052417588777,0.29634758494757,-0.1473666220939051,-118.70598786293765,False
21,0,29,1099.7916666666667,24,30,False,7.508224912070745,18.301633125,1885.1218734012773,1933313.2083333333,0.5172114651140122,0.14010327119767288,1.7120431138166687,0.29975176609308063,-0.16458584313017602,,
22,0,11,916.25,12,12,True,5.60661570505409,15.247316249999999,1831.61355728532,1664350.25,0.7306059255266971,0.1545515709829587,1.7384528170116704,0.2990840227095344,-0.14573196547721518,-103.34000769131514,False
23,0,12,950.0769230769232,13,13,True,5.936600721795726,15.810230076923078,2775.0589617318637,2653461.4615384615,0.6096958149635759,0.14875827417983817,1.6815995371791863,0.30085135848056843,-0.1750405168350269,-147.08804669380297,False
24,0,20,1461.4761904761904,21,21,True,11.299644919718213,24.320425285714286,2241.1212915381975,3245124.6666666665,0.63406735822828,0.13824389142655122,1.682491517176641,0.3117640436736435,-0.11442402390491462,2.9822948126382327,False
25,0,29,1319.3,30,30,False,9.821227768644684,21.9544713,1808.1458300291195,2172894.566666667,0.5500451974710517,0.13239214211900804,1.6505386028075473,0.31658890852132743,-0.11178636210792207,,
26,0,10,1058.0,10,11,True,6.976923908858973,17.606178,2076.868599616707,2148017.9,0.6325910598979363,0.15937923189370282,1.72945401131252,0.2923906308184793,-0.16446256531412623,-97.12376256061201,False
27,0,16,1035.4117647058824,17,17,True,6.760190716271685,17.230287176470586,1411.8343105362094,1425419.1764705882,0.5710545988406257,0.10044399795510661,1.618058052732068,0.311953048988866,-0.16247651081323444,-154.38940637978308,False
28,0,19,1105.45,20,20,True,7.4301470906965985,18.39579345,2115.412531334622,2319026.4,0.6549946346271958,0.1306680546334224,1.6733663907760055,0.30748112256774957,-0.1278664307237486,-8.931569079975729,False
29,0,19,1194.25,20,20,True,8.355270830467687,19.87351425,1882.6958405957096,2223267.2,0.6380828294560887,0.1401875054489849,1.6790454924844092,0.303295429688751,-0.15285148755789082,2.5621735790048614,False
30,0,12,805.0833333333334,12,13,True,4.620655613163734,13.397391749999999,2290.98583453446,1845152.0,0.4811526219273307,0.1419781078459705,1.699045515622946,0.3026465149344589,-0.1528402621082661,-125.53147311664753,False
31,0,15,690.8125,16,16,True,3.6953489536023225,11.4958108125,1568.9665432191525,1103478.5,0.4560023448205844,0.10951666772331708,1.6129650277571579,0.32024594976286186,-0.14080703770122277,27.19674666214559,True
32,0,12,998.4285714285714,7,13,True,6.370135535120541,16.614849857142854,1265.254512608985,1263806.7142857143,0.5942587126769577,0.14656586688026194,1.7310108902489691,0.2947789802577764,-0.14947129009945875,-103.8397087546898,False
33,0,12,1395.076923076923,13,13,True,10.533196564483559,23.215475076923077,2370.0731723967406,3299895.6923076925,0.6802997277734261,0.1512935948486265,1.7019216650541666,0.304666996125387,-0.15803854976655238,-153.26658146800256,False
34,0,12,705.2857142857143,7,13,True,3.843732798499066,11.736659571428572,2779.3048234505045,1958518.0,0.34839586123504385,0.05529943176142354,1.3586127930802063,0.33350879434035646,-0.09849775083255945,556.4859275679717,False
35,0,11,1316.1666666666667,12,12,True,9.650029014451787,21.902329499999997,3287.6303912119433,4308852.583333333,0.553625857528991,0.1282643767856054,1.6877617977612702,0.3046821578592434,-0.1452981392283836,-148.2172198621899,False
36,0,5,719.0,6,6,True,3.8931351293863474,11.964878999999998,3151.7253078284084,2266549.8333333335,0.6212139135803203,0.21877569195142077,1.8213123764674817,0.2594691743150779,-0.2286773416376007,-4.042220044733764,False
37,0,15,1271.5,16,16,True,9.178904960866209,21.159031499999998,2525.3404564616358,3167311.875,0.5714611319298974,0.14146539815362202,1.6761170531219824,0.30610734232796044,-0.14972609805432596,-153.70268513623654,False
38,0,5,1058.1666666666667,6,6,True,6.952533862646156,17.6089515,3248.2854971966008,3410266.1666666665,0.5402975725647737,0.1023074113028355,1.5692949284653996,0.3142187171823823,-0.16470569981756553,-379.10532642721626,False
39,0,11,840.5833333333334,12,12,True,4.91997999575376,13.988147249999999,3501.3367090068077,2941357.4166666665,1.0376440183054652,0.22040217627521863,1.6797825048020398,0.2445116812708978,-0.23870386055438608,-117.23316159301388,False
40,0,18,1027.842105263158,19,19,True,6.697933050572517,17.104320473684208,1775.938717610496,1769018.2631578948,0.6587097718786911,0.14057396862228602,1.7008587535033683,0.30089233592985976,-0.1604869143033337,-152.08491268838907,False
41,0,10,1281.090909090909,11,11,True,9.285245245933249,21.31863381818182,2837.0504648779006,3552265.1818181816,0.7440057804251903,0.1592546570059319,1.6396500278395736,0.29619729907082487,-0.16608420647908526,-212.29132302171863,False
42,0,15,911.625,16,16,True,5.581178536069391,15.170351624999999,2658.5211499849074,2373635.875,0.5534063285901396,0.13979313254748116,1.6850878857263976,0.30370530209725777,-0.14327683432834662,-39.875415150326766,False
43,0,16,1715.6470588235295,17,17,True,14.367795692320847,28.550082705882353,4035.8375908068624,6892369.94117647,0.43384079262548214,0.1047649127394709,1.6348165597945918,0.3213711869102003,-0.0776109183799525,-91.09675533974897,False
44,0,29,1347.7586206896551,29,30,False,10.010873307390959,22.428051206896548,1847.7166454023197,2461518.5172413792,0.5033085644032549,0.12499725176947664,1.6593011669829552,0.3147434615484556,-0.11349845432853826,,
45,0,29,1335.8333333333333,30,30,False,9.927670991344177,22.2296025,1948.9552309184685,2498097.4,0.5429182468445546,0.1195352500999093,1.6577609656777696,0.319418977420505,-0.10537285162563985,,
46,0,14,1386.5333333333333,15,15,True,10.447830439322392,23.0733012,2797.4724245364428,3857404.8666666667,0.5600727545380388,0.12932547447857803,1.6625763628390122,0.31541668907065407,-0.11364639780561331,-183.47530617502343,False
47,0,19,1183.9,20,20,True,8.250642542737296,19.7012799,2465.0615366591164,2902460.8,0.732205169183838,0.16846245686530517,1.7505423129675168,0.2903659192109923,-0.15868614622143978,-118.72376580351916,False
48,0,10,959.0,11,11,True,6.016187433094952,15.958719,2582.5250369392393,2431234.0,0.6832801561674989,0.14156697758648626,1.7136894976255754,0.3005867570577497,-0.14447773155098306,-38.56490401321436,False
49,0,15,1104.5,16,16,True,7.431466962942297,18.3799845,2028.130077972832,2208769.375,0.5981720700366819,0.11385567659988788,1.6350350223526782,0.30432597059586564,-0.16426628131154922,-73.56113162957291,False
50,0,13,1349.071428571429,14,14,True,10.10852505327659,22.44989764285714,2059.2315341173917,2659011.3571428573,0.6427198248613352,0.13799548630483952,1.6719718818945608,0.3070173621195168,-0.16838862429728624,-306.14134452865426,False
