track_id,offset,peri_core_asymmetry,delta_from_baseline
0,-5,-0.2206601559877671,0.0
0,-4,-0.190769488129072,0.029890667858695097
0,-3,-0.21810938103741762,0.0025507749503494714
0,-2,-0.18690418473467005,0.03375597125309704
0,-1,-0.182194461509707,0.038465694478060086
0,0,-0.14004778864158585,0.08061236734618124
2,-5,-0.10051804449087981,0.0
2,-4,-0.08787331517571514,0.012644729315164666
2,-3,-0.07324091322862561,0.0272771312622542
2,-2,-0.0990343045822648,0.0014837399086150144
2,-1,-0.11560240267253162,-0.01508435818165181
2,0,-0.1060301482121311,-0.005512103721251285
3,-5,-0.13153576902367178,0.0
3,-4,-0.15071083388259146,-0.019175064858919677
3,-3,-0.1613398667454496,-0.029804097721777806
3,-2,-0.12460120956583885,0.006934559457832931
3,-1,-0.1259060780160111,0.00562969100766067
3,0,-0.08567538025368973,0.04586038876998205
4,-5,-0.32470991988527764,0.0
4,-4,-0.3662392631178765,-0.04152934323259888
4,-3,-0.3671901154993392,-0.04248019561406158
4,-2,-0.3459194208584667,-0.021209500973189077
4,-1,-0.34658981580036036,-0.021879895915082714
4,0,-0.1224147296422317,0.20229519024304593
5,-5,-0.11168530037568285,0.0
5,-4,-0.11301156962171167,-0.0013262692460288272
5,-3,-0.1395498722838486,-0.027864571908165756
5,-2,-0.15227381375727608,-0.040588513381593236
5,-1,-0.13658982743709458,-0.024904527061411733
5,0,-0.12990606206199576,-0.01822076168631291
6,-5,-0.17761793890943445,0.0
6,-4,-0.18804062202339078,-0.010422683113956333
6,-3,-0.16615402598095852,0.011463912928475928
6,-2,-0.16517768665367782,0.012440252255756623
6,-1,-0.18337620592942488,-0.005758267019990437
6,0,-0.19298787802388606,-0.015369939114451614
7,-5,-0.09372677611202751,0.0
7,-4,-0.058028710170574385,0.035698065941453125
7,-3,-0.10285374162878202,-0.009126965516754515
7,-2,-0.17402625433157856,-0.08029947821955105
7,-1,-0.09482336413513108,-0.0010965880231035702
7,0,-0.07639948734802246,0.01732728876400505
8,-5,-0.15847867548167255,0.0
8,-4,-0.16624110512290133,-0.00776242964122878
8,-3,-0.145287227702166,0.013191447779506538
8,-2,-0.14892419749352262,0.009554477988149929
8,-1,-0.12788199742281955,0.030596678058852994
8,0,-0.11726738764090895,0.0412112878407636
9,-5,-0.22116974218809018,0.0
9,-4,-0.22539317703703918,-0.004223434848948993
9,-3,,
9,-2,-0.19826316767414684,0.022906574513943345
9,-1,-0.17138678967392876,0.04978295251416143
9,0,-0.16045769064333454,0.060712051544755646
10,-5,-0.1241987310023413,0.0
10,-4,-0.0972825426594413,0.026916188342899994
10,-3,-0.11488138462740134,0.009317346374939958
10,-2,-0.11961006942590584,0.004588661576435463
10,-1,-0.1511007038522101,-0.02690197284986881
10,0,-0.19444367471150711,-0.07024494370916581
11,-5,-0.10066328153785795,0.0
11,-4,-0.12476116477114846,-0.024097883233290512
11,-3,-0.14315242071512058,-0.04248913917726263
11,-2,-0.1366938532208248,-0.03603057168296686
11,-1,-0.11677955822289868,-0.01611627668504073
11,0,-0.0748043918050043,0.02585888973285365
12,-5,-0.09430864859017991,0.0
12,-4,-0.09750874494284266,-0.0032000963526627457
12,-3,-0.11734321708778891,-0.023034568497609
12,-2,-0.11132623282286244,-0.01701758423268253
12,-1,-0.10296844993643568,-0.008659801346255769
12,0,-0.10770237774403733,-0.01339372915385742
13,-5,-0.16574142024038097,0.0
13,-4,-0.15051491535952724,0.015226504880853725
13,-3,-0.1618800385865873,0.003861381653793655
13,-2,-0.14047795228043308,0.025263467959947883
13,-1,-0.14643624133167377,0.0193051789087072
13,0,-0.10091414167786707,0.0648272785625139
14,-5,-0.16855503360260835,0.0
14,-4,-0.15036063376247819,0.01819439984013016
14,-3,-0.15227633672815646,0.01627869687445188
14,-2,-0.1440090852844443,0.024545948318164035
14,-1,-0.08892341296496618,0.07963162063764216
14,0,-0.0931337407387378,0.07542129286387055
15,-5,-0.15141065585052577,0.0
15,-4,-0.1406499111207043,0.01076074472982147
15,-3,-0.13334370918663124,0.018066946663894523
15,-2,-0.20277881529327182,-0.05136815944274606
15,-1,-0.14346494798419085,0.007945707866334917
